x,y,z
0.294185718,-2.33747826,22.1418427
0.29334966,-2.33683386,22.1419394
0.292572774,-2.33611281,22.1420421
0.29185796,-2.33531782,22.1421505
0.291207892,-2.33445187,22.1422642
0.290624998,-2.3335182,22.1423826
0.290111455,-2.33252031,22.1425053
0.289669181,-2.33146193,22.142632
0.289299829,-2.33034703,22.142762
0.289004777,-2.32917978,22.142895
0.288785127,-2.32796453,22.1430303
0.2886417,-2.32670583,22.1431675
0.28857503,-2.32540838,22.1433061
0.288585366,-2.32407702,22.1434455
0.288672668,-2.32271674,22.1435853
0.288836611,-2.3213326,22.1437248
0.289076582,-2.31992977,22.1438635
0.289391683,-2.3185135,22.1440011
0.289780737,-2.31708906,22.1441368
0.29024229,-2.31566178,22.1442703
0.290774619,-2.31423698,22.1444009
0.291375733,-2.31281998,22.1445284
0.292043387,-2.31141608,22.144652
0.292775086,-2.31003051,22.1447715
0.293568095,-2.30866846,22.1448863
0.296089285,-2.30453459,22.1452305
0.299914235,-2.29826305,22.1457518
0.305040689,-2.28985759,22.1464491
0.311463259,-2.27932559,22.1473205
0.319173629,-2.26667508,22.1483639
0.328159922,-2.25191417,22.149577
0.338407539,-2.23505179,22.150957
0.349900246,-2.21609862,22.1525007
0.362632351,-2.19507499,22.1542031
0.376616225,-2.17201584,22.1560571
0.391841469,-2.14694536,22.158057
0.408272899,-2.11987314,22.1601986
0.425870456,-2.09080318,22.1624783
0.444625608,-2.05976361,22.1648885
0.464496173,-2.02676973,22.1674221
0.485574183,-1.99192541,22.1700613
0.507781056,-1.95521998,22.1728051
0.531045575,-1.91664967,22.1756489
0.555360401,-1.87625852,22.1785819
0.580692286,-1.83407348,22.181595
0.607120192,-1.79020062,22.1846704
0.634518857,-1.74460926,22.1878101
0.662878654,-1.69735047,22.191002
0.692308455,-1.64855028,22.1942185
0.722662846,-1.59818197,22.1974546
0.753923489,-1.54627616,22.2006952
0.786223686,-1.49300518,22.2039132
0.819409382,-1.43831627,22.2071006
0.853402627,-1.38223157,22.2102412
0.888345477,-1.32491246,22.2133084
0.924102225,-1.26633564,22.2162869
0.960625918,-1.20654106,22.2191395
0.998046794,-1.14569275,22.221848
1.03620374,-1.08375633,22.224421
1.07515849,-1.02085003,22.2268416
1.11491153,-0.957054279,22.2290999
1.15530849,-0.892341387,22.2311951
1.19648566,-0.826881025,22.2331172
1.23827761,-0.76065671,22.2348671
1.28077246,-0.693794708,22.2365068
1.32392292,-0.626369405,22.2380179
1.367616,-0.558378332,22.2393775
1.41205557,-0.490036107,22.2405815
1.45697072,-0.421272145,22.2416349
1.50268421,-0.352005382,22.2425549
1.54877465,-0.282817201,22.2432749
1.59531652,-0.213423591,22.2442749
1.64226106,-0.143883043,22.245238
1.68961791,-0.074311577,22.2458458
1.73744173,-0.004824982,22.2460753
1.7856429,0.064522604,22.2459314
1.8345194,0.133431541,22.245405
1.88367088,0.202086009,22.2444953
1.93351518,0.270070448,22.243203
1.98354479,0.337660261,22.2415392
2.03404711,0.40455007,22.239517
2.08485279,0.470755438,22.2371541
2.13592889,0.536210896,22.2344691
2.18736003,0.600738135,22.231482
2.23884915,0.664473062,22.2282152
2.29074805,0.72703617,22.2246897
2.34245666,0.788786087,22.2209238
2.39443821,0.849250374,22.2169301
2.44621024,0.908727688,22.2127165
2.49773898,0.967000484,22.2083053
2.5492766,1.02401737,22.2037056
2.60046871,1.07986937,22.1990861
2.65157267,1.13427138,22.1946346
2.70227512,1.18731721,22.1900381
2.75251332,1.23899469,22.1853419
2.80254941,1.28896046,22.1805644
2.85190266,1.33756417,22.1757235
2.90068652,1.3846214,22.1708479
2.9489199,1.42999503,22.1659642
2.99627584,1.47392326,22.1610719
3.04284331,1.516228,22.1561956
3.0885647,1.55687642,22.151355
3.13322217,1.59600388,22.1465657
3.17679218,1.63356209,22.1418472
3.21932138,1.66941896,22.1372219
3.26058856,1.70373942,22.1327018
3.30052817,1.73651115,22.1283044
3.33927295,1.76755216,22.1240502
3.37663592,1.79696437,22.119952
3.41250086,1.82483828,22.1160181
3.44680106,1.85117257,22.1122614
3.47964081,1.87581931,22.1086974
3.5109717,1.8987599,22.1053477
3.5405584,1.9202176,22.1021989
3.56837606,1.94017826,22.0992562
3.59437542,1.95865294,22.0965232
3.61854178,1.97563384,22.0940027
3.64093973,1.99100417,22.0917036
3.66139959,2.00492619,22.0896186
3.67988179,2.01742502,22.0877466
3.69637011,2.02849473,22.0860881
3.71083306,2.03814858,22.084642
3.72324475,2.04639948,22.0834071
3.73358893,2.05325086,22.0823824
3.7418552,2.05870138,22.0815673
3.74803103,2.06275518,22.080961
3.75210615,2.06542069,22.0805623
3.75337393,2.06621351,22.0804417
3.75466347,2.06694918,22.0803258
3.75597031,2.06762516,22.0802148
3.7572899,2.06823912,22.0801092
3.75861769,2.06878894,22.0800094
3.75994906,2.06927274,22.0799157
3.76127942,2.06968888,22.0798285
3.76260415,2.07003593,22.079748
3.76391869,2.07031272,22.0796745
3.76521848,2.07051832,22.0796083
3.76649905,2.07065206,22.0795496
3.76775596,2.07071351,22.0794987
3.7689849,2.07070249,22.0794555
3.77018162,2.07061907,22.0794204
3.77134201,2.0704636,22.0793934
3.77246207,2.07023663,22.0793746
3.77353796,2.069939,22.0793641
3.77456598,2.06957177,22.0793618
3.7755426,2.06913624,22.0793678
3.77646448,2.06863397,22.0793821
3.77732845,2.0680667,22.0794045
3.77813157,2.06743644,22.0794349
3.77887109,2.06674539,22.0794734
3.77954448,2.06599596,22.0795196
3.78014945,2.06519076,22.0795735
3.78068394,2.06433258,22.0796348
3.78114612,2.0634244,22.0797033
3.78153444,2.06246937,22.0797788
3.78184758,2.06147078,22.0798609
3.78208447,2.06043207,22.0799495
3.78224433,2.05935684,22.0800441
3.78232662,2.05824879,22.0801445
3.78233108,2.05711171,22.0802503
3.7822577,2.05594952,22.0803612
3.78210675,2.05476621,22.0804767
3.78187876,2.05356583,22.0805964
3.78157453,2.0523525,22.08072
3.7811951,2.05113036,22.0808471
3.78074178,2.0499036,22.080977
3.78021614,2.04867642,22.0811096
3.77961997,2.04745301,22.0812442
3.77895533,2.04623756,22.0813804
3.7782245,2.0450342,22.0815178
3.77742999,2.04384707,22.081656
3.77657451,2.04268021,22.0817944
3.775661,2.0415376,22.0819326
3.77469259,2.04042317,22.0820701
3.77367259,2.0393407,22.0822065
3.77028202,2.03588139,22.082647
3.76513902,2.03063408,22.083315
3.75824879,2.02360108,22.0842101
3.74962491,2.01478285,22.0853314
3.73928961,2.0041736,22.0866783
3.72726554,1.99177189,22.0882496
3.71357183,1.97758543,22.0900429
3.69822954,1.96162039,22.092056
3.68127925,1.94386569,22.0942868
3.66274327,1.92434233,22.0967308
3.64252836,1.90319841,22.0993766
3.62076713,1.88031965,22.1022265
3.59752829,1.85568982,22.1052758
3.57284927,1.82931472,22.1085183
3.54679488,1.80117828,22.1119476
3.51922975,1.77149848,22.1155472
3.49020062,1.74026025,22.1193088
3.45991528,1.70731939,22.1232376
3.42841295,1.67268011,22.1273178
3.39568388,1.6364444,22.1315283
3.36165535,1.59872422,22.1358548
3.32656864,1.55935967,22.1402866
3.29047273,1.51836026,22.1448084
3.25326319,1.4759165,22.1493992
3.21510224,1.43192875,22.1540454
3.17608356,1.38638514,22.1587295
3.136107,1.33946255,22.1634308
3.09523122,1.29117634,22.168132
3.05365876,1.24140384,22.172817
3.01118253,1.19043935,22.1774641
2.96792664,1.13821809,22.1820582
2.92411558,1.08462635,22.1865812
2.87938083,1.03008865,22.1910175
2.8340958,0.974342177,22.1953633
2.78830342,0.917459543,22.1995898
2.7418143,0.859634464,22.2036812
2.6949763,0.800674606,22.2076179
2.64745325,0.74083091,22.2113901
2.59963706,0.680122362,22.2149564
2.55162153,0.618434077,22.2186075
2.50300934,0.556175411,22.2221838
2.45434725,0.492988902,22.2255289
2.40512498,0.429353939,22.2286341
2.35576589,0.365027209,22.2314805
2.30605048,0.300277979,22.2340699
2.25613746,0.235064465,22.2363914
2.20606708,0.169459263,22.2384363
2.1557441,0.103615825,22.2401917
2.10552921,0.037367768,22.241634
2.05498594,-0.028868092,22.242758
2.00460272,-0.095365537,22.2435387
1.95404706,-0.1617965,22.2439699
1.90367665,-0.228311206,22.2440333
1.85346059,-0.294813984,22.2437206
1.80351021,-0.361270655,22.2430309
1.7538955,-0.427656899,22.2419654
1.70462589,-0.493892949,22.2405367
1.65591661,-0.55960003,22.2387584
1.60752577,-0.625301096,22.2366211
1.55961529,-0.690624016,22.2343476
1.51197186,-0.755375079,22.2324498
1.46485544,-0.819618796,22.2304668
1.41820807,-0.883215694,22.2283872
1.3720377,-0.946105905,22.2262159
1.32648484,-1.00827874,22.2239492
1.28143407,-1.06958296,22.2215937
1.237075,-1.13005929,22.2191726
1.19330386,-1.18955192,22.2167123
1.15017519,-1.24801436,22.2141428
1.10780506,-1.3054439,22.2114676
1.06608209,-1.36168414,22.208698
1.02519428,-1.41678609,22.2058333
0.985145745,-1.47067717,22.2028866
0.945853426,-1.5232251,22.1998737
0.907514547,-1.57448633,22.1967819
0.870105261,-1.62438269,22.1936405
0.833525991,-1.67276583,22.1904962
0.797964962,-1.71971526,22.1873544
0.763454943,-1.7651704,22.1842356
0.729907549,-1.80902094,22.1811641
0.697484174,-1.85131079,22.1781475
0.666228395,-1.892013,22.1751991
0.636067999,-1.9310224,22.1723375
0.607133845,-1.96837497,22.1695717
0.57944444,-2.00403137,22.1669109
0.553042702,-2.03797241,22.1643556
0.527906932,-2.0701356,22.1619168
0.504008534,-2.10045643,22.1596057
0.48148777,-2.12898868,22.1574182
0.460350489,-2.15570237,22.1553601
0.440622854,-2.18057582,22.1534337
0.422313539,-2.20357818,22.1516456
0.405428151,-2.22468375,22.1500016
0.38999127,-2.2438825,22.1485037
0.37605065,-2.26118057,22.1471516
0.363631841,-2.27657192,22.1459466
0.352746256,-2.29004359,22.1448905
0.343404953,-2.30158485,22.143985
0.335618817,-2.31118746,22.1432313
0.32939844,-2.31884582,22.14263
0.324753471,-2.32455642,22.1421816
0.321690014,-2.32831891,22.1418861
0.320667593,-2.32952304,22.1417929
0.319602033,-2.33067762,22.1417064
0.318497332,-2.33177832,22.1416268
0.317357636,-2.33282101,22.1415544
0.316187219,-2.3338018,22.1414897
0.314990472,-2.33471702,22.1414328
0.313771883,-2.33556324,22.1413839
0.312536021,-2.3363373,22.1413432
0.311287519,-2.33703633,22.141311
0.310031056,-2.3376577,22.1412873
0.30877134,-2.3381991,22.1412722
0.307513092,-2.33865854,22.1412659
0.306261024,-2.33903429,22.1412682
0.305019827,-2.33932498,22.1412792
0.303794147,-2.33952953,22.141299
0.302588572,-2.33964719,22.1413273
0.301407617,-2.33967754,22.141364
0.300255699,-2.33962048,22.1414092
0.29913713,-2.33947626,22.1414624
0.298056094,-2.33924541,22.1415236
0.297016634,-2.33892884,22.1415925
0.296022638,-2.33852772,22.1416689
0.295077822,-2.33804359,22.1417524
0.294185718,-2.33747826,22.1418427
