x,y,z
0.095642829,-2.16398435,19.1616827
0.09464054,-2.16311631,19.1616543
0.093712731,-2.16216078,19.1616452
0.092862593,-2.16112104,19.1616552
0.09209305,-2.1600007,19.1616845
0.091406749,-2.15880359,19.1617329
0.09080605,-2.15753384,19.1618001
0.090293018,-2.15619582,19.161886
0.089869418,-2.15479414,19.1619903
0.089536706,-2.15333362,19.1621125
0.089296027,-2.15181927,19.1622523
0.089148208,-2.15025632,19.1624091
0.089093758,-2.14865013,19.1625824
0.089132863,-2.14700622,19.1627716
0.089265388,-2.14533026,19.162976
0.089490879,-2.14362799,19.1631949
0.08980856,-2.14190528,19.1634276
0.090217338,-2.14016805,19.1636732
0.090715807,-2.13842226,19.163931
0.091302253,-2.13667392,19.1641999
0.091974659,-2.13492904,19.1644792
0.092730712,-2.13319362,19.1647678
0.093567812,-2.13147363,19.1650647
0.094483079,-2.12977497,19.1653689
0.095473366,-2.12810349,19.1656795
0.098020478,-2.12399482,19.1664567
0.101881409,-2.117767,19.1676343
0.107056419,-2.10941988,19.1692118
0.113541012,-2.09896099,19.171187
0.121329585,-2.08639978,19.1735573
0.130415416,-2.07174754,19.1763194
0.140788578,-2.05501586,19.1794694
0.152432663,-2.0362144,19.1830026
0.165337766,-2.0153608,19.1869138
0.179528346,-1.99250155,19.1911994
0.195007045,-1.96766817,19.1958546
0.211723268,-1.94085305,19.2008709
0.229658644,-1.91207771,19.2062411
0.248783678,-1.88135627,19.2119566
0.269115992,-1.84874011,19.2180105
0.290773238,-1.81436273,19.2243995
0.313694896,-1.77822275,19.2311124
0.33776567,-1.74027552,19.2381432
0.362970939,-1.70055783,19.2454828
0.389449067,-1.65922785,19.2531355
0.41729836,-1.61642822,19.2611029
0.446223909,-1.57196485,19.2693526
0.476200326,-1.52588521,19.2778754
0.507526533,-1.47848495,19.2866873
0.539921431,-1.42959808,19.2957418
0.573338015,-1.37924926,19.3050143
0.607964432,-1.32764669,19.3145066
0.643690175,-1.2747678,19.3241788
0.680403994,-1.22058623,19.3339904
0.718264835,-1.16531207,19.343939
0.757167272,-1.10893614,19.3539861
0.797010048,-1.0513982,19.3641032
0.83817589,-0.993111635,19.3742756
0.880310003,-0.933846171,19.3844332
0.923481447,-0.873750602,19.3946023
0.968013173,-0.813186073,19.4048185
1.01340225,-0.751795023,19.4150218
1.05995155,-0.689947979,19.4252622
1.10746138,-0.62753552,19.4355298
1.15580721,-0.56460385,19.4458224
1.20509123,-0.501290584,19.4561948
1.25512212,-0.43755152,19.4666237
1.30596604,-0.373526881,19.4771003
1.35754278,-0.309217561,19.4876204
1.41028219,-0.244815328,19.4982632
1.46376823,-0.18078302,19.508967
1.51805408,-0.116949193,19.5197951
1.57334979,-0.053667275,19.5314694
1.62919482,0.009483177,19.5434772
1.68641881,0.071756591,19.5551093
1.74419137,0.133775622,19.5663747
1.80289398,0.195086512,19.5772964
1.86213332,0.255934412,19.5878029
1.92201878,0.316088704,19.5979108
1.98239658,0.375544674,19.6075941
