L,HP,HS
0,0.0099,0.0099
0.1,0.0131,0.0586
0.2,0.0276,0.0982
0.3,0.0419,0.1353
0.4,0.0562,0.1699
0.5,0.0703,0.2021
0.6,0.0845,0.2319
0.7,0.0988,0.26
0.8,0.1132,0.2855
0.9,0.1277,0.3074
1,0.1405,0.3251
1.1,0.151,0.3377
1.2,0.1586,0.345
1.3,0.163,0.3466
1.4,0.1638,0.3422
1.5,0.1605,0.3313
1.6,0.153,0.3135
1.7,0.1404,0.2879
1.8,0.1221,0.2533
1.9,0.097,0.2078
2,0.0636,0.1485
2.1,0.0195,0.0688
2.1518,0.0118,0.0118
