span_index,ss_x,ss_r,ss_th,ps_x,ps_r,ps_th
0, 0.00000668, 0.00820002, 0.00000000, 0.00000668, 0.00820002, 0.00000000
0, 0.00000668, 0.00820002, -0.01340245, 0.00014358, 0.00820024, 0.00860972
0, 0.00000668, 0.00820002, -0.03001590, 0.00032576, 0.00820110, 0.01139671
0, 0.00002153, 0.00820003, -0.04951060, 0.00054864, 0.00820285, 0.00885887
0, 0.00017049, 0.00820032, -0.07155682, 0.00080990, 0.00820554, 0.00149409
0, 0.00038110, 0.00820147, -0.09582482, 0.00110530, 0.00820915, -0.01019971
0, 0.00064820, 0.00820381, -0.12198488, 0.00143244, 0.00821564, -0.02572466
0, 0.00096577, 0.00820730, -0.14970726, 0.00178780, 0.00822494, -0.04458284
0, 0.00132781, 0.00821329, -0.17866222, 0.00216777, 0.00823628, -0.06627637
0, 0.00172928, 0.00822331, -0.20852002, 0.00256994, 0.00825129, -0.09030734
0, 0.00216391, 0.00823615, -0.23895095, 0.00299095, 0.00826942, -0.11617785
0, 0.00262599, 0.00825359, -0.26962525, 0.00342707, 0.00829118, -0.14339002
0, 0.00311053, 0.00827502, -0.30021320, 0.00387618, 0.00831677, -0.17144594
0, 0.00361185, 0.00830138, -0.33038506, 0.00433443, 0.00834593, -0.19984771
0, 0.00412388, 0.00833204, -0.35981109, 0.00479891, 0.00837906, -0.22809743
0, 0.00464124, 0.00836748, -0.38816157, 0.00526655, 0.00841560, -0.25569722
0, 0.00515812, 0.00840678, -0.41510676, 0.00573382, 0.00845576, -0.28214917
0, 0.00566924, 0.00845002, -0.44032575, 0.00619777, 0.00849882, -0.30696772
0, 0.00617163, 0.00849629, -0.46370067, 0.00665717, 0.00854500, -0.32995139
0, 0.00666610, 0.00854593, -0.48531670, 0.00711200, 0.00859381, -0.35118272
0, 0.00715345, 0.00859843, -0.50526784, 0.00756338, 0.00864568, -0.37075660
0, 0.00763412, 0.00865409, -0.52364810, 0.00801138, 0.00870018, -0.38876792
0, 0.00810905, 0.00871251, -0.54055146, 0.00845697, 0.00875771, -0.40531159
0, 0.00857900, 0.00877401, -0.55607194, 0.00889997, 0.00881793, -0.42048249
0, 0.00904488, 0.00883832, -0.57030353, 0.00934225, 0.00888127, -0.43437553
0, 0.00950710, 0.00890570, -0.58334023, 0.00978303, 0.00894749, -0.44708559
0, 0.00996667, 0.00897596, -0.59527606, 0.01022376, 0.00901682, -0.45870757
0, 0.01042429, 0.00904944, -0.60620500, 0.01066450, 0.00908934, -0.46933637
0, 0.01088076, 0.00912601, -0.61622106, 0.01110581, 0.00916504, -0.47906688
0, 0.01133680, 0.00920598, -0.62541824, 0.01154902, 0.00924435, -0.48799400
0, 0.01179343, 0.00928939, -0.63389054, 0.01199410, 0.00932713, -0.49621262
0, 0.01225146, 0.00937655, -0.64173197, 0.01244178, 0.00941379, -0.50381763
0, 0.01271164, 0.00946756, -0.64903652, 0.01289295, 0.00950436, -0.51090394
0, 0.01317507, 0.00956277, -0.65589820, 0.01334813, 0.00959926, -0.51756643
0, 0.01364227, 0.00966237, -0.66239999, 0.01380810, 0.00969858, -0.52388871
0, 0.01411361, 0.00976655, -0.66858087, 0.01427301, 0.00980265, -0.52990916
0, 0.01459024, 0.00987571, -0.67446880, 0.01474335, 0.00991156, -0.53565489
0, 0.01507158, 0.00998982, -0.68009172, 0.01521929, 0.01002565, -0.54115300
0, 0.01555846, 0.01010928, -0.68547761, 0.01570172, 0.01014517, -0.54643058
0, 0.01605128, 0.01023431, -0.69065441, 0.01619067, 0.01027045, -0.55151472
0, 0.01655048, 0.01036523, -0.69565009, 0.01668643, 0.01040162, -0.55643254
0, 0.01705590, 0.01050220, -0.70049261, 0.01718953, 0.01053917, -0.56121112
0, 0.01756886, 0.01064574, -0.70520992, 0.01770029, 0.01068327, -0.56587756
0, 0.01808919, 0.01079613, -0.70982999, 0.01821955, 0.01083455, -0.57045896
0, 0.01861731, 0.01095362, -0.71438077, 0.01874743, 0.01099320, -0.57498242
0, 0.01915418, 0.01111890, -0.71889021, 0.01928469, 0.01115984, -0.57947504
0, 0.01969995, 0.01129218, -0.72338629, 0.01983138, 0.01133474, -0.58396391
0, 0.02025525, 0.01147411, -0.72789695, 0.02038876, 0.01151867, -0.58847613
0, 0.02082092, 0.01166525, -0.73245015, 0.02095642, 0.01171192, -0.59303880
0, 0.02139696, 0.01186598, -0.73707386, 0.02153614, 0.01191542, -0.59767902
0, 0.02198448, 0.01207717, -0.74179584, 0.02212714, 0.01212942, -0.60242372
0, 0.02258356, 0.01229924, -0.74663941, 0.02273149, 0.01235514, -0.60729598
0, 0.02319488, 0.01253295, -0.75162344, 0.02334823, 0.01259272, -0.61231505
0, 0.02381870, 0.01277898, -0.75676664, 0.02397869, 0.01284329, -0.61750001
0, 0.02445547, 0.01303801, -0.76208767, 0.02462290, 0.01310746, -0.62286994
0, 0.02510586, 0.01331094, -0.76760522, 0.02528128, 0.01338603, -0.62844391
0, 0.02576989, 0.01359848, -0.77333799, 0.02595424, 0.01367991, -0.63424101
0, 0.02644826, 0.01390164, -0.77930466, 0.02664263, 0.01399026, -0.64028032
0, 0.02714144, 0.01422138, -0.78552390, 0.02734679, 0.01431807, -0.64658091
0, 0.02784969, 0.01455867, -0.79201441, 0.02806702, 0.01466435, -0.65316186
0, 0.02857400, 0.01491491, -0.79879488, 0.02880411, 0.01503051, -0.66004225
0, 0.02931426, 0.01529104, -0.80588398, 0.02955885, 0.01541804, -0.66724116
0, 0.03007150, 0.01568868, -0.81330040, 0.03033090, 0.01582793, -0.67477766
0, 0.03084588, 0.01610909, -0.82106283, 0.03112155, 0.01626216, -0.68267084
0, 0.03163812, 0.01655396, -0.82918995, 0.03193108, 0.01672231, -0.69093978
0, 0.03244850, 0.01702488, -0.83770046, 0.03276013, 0.01721032, -0.69960355
0, 0.03327770, 0.01752380, -0.84661303, 0.03360952, 0.01772839, -0.70868123
0, 0.03412647, 0.01805291, -0.85594815, 0.03447923, 0.01827843, -0.71819599
0, 0.03499572, 0.01861473, -0.86573356, 0.03537079, 0.01886354, -0.72818736
0, 0.03588671, 0.01921226, -0.87599878, 0.03628530, 0.01948687, -0.73869896
0, 0.03680037, 0.01984862, -0.88677336, 0.03722422, 0.02015222, -0.74977440
0, 0.03773830, 0.02052778, -0.89808682, 0.03818797, 0.02086302, -0.76145730
0, 0.03870161, 0.02125382, -0.90996870, 0.03917857, 0.02162440, -0.77379128
0, 0.03969138, 0.02203132, -0.92244853, 0.04019671, 0.02244111, -0.78681997
0, 0.04070891, 0.02286564, -0.93555585, 0.04124328, 0.02331869, -0.80058697
0, 0.04175507, 0.02376258, -0.94932019, 0.04231955, 0.02426387, -0.81513590
0, 0.04283064, 0.02472867, -0.96377108, 0.04342576, 0.02528346, -0.83051039
0, 0.04393638, 0.02577152, -0.97893807, 0.04456281, 0.02638609, -0.84675404
0, 0.04507291, 0.02689988, -0.99485067, 0.04573050, 0.02758075, -0.86391049
0, 0.04624001, 0.02812326, -1.01153843, 0.04692832, 0.02887793, -0.88202335
0, 0.04743700, 0.02945253, -1.02903088, 0.04815521, 0.03028965, -0.90113623
0, 0.04866243, 0.03090007, -1.04735755, 0.04940890, 0.03182926, -0.92129275
0, 0.04991402, 0.03248016, -1.06654798, 0.05068599, 0.03351204, -0.94253653
0, 0.05118781, 0.03420860, -1.08662451, 0.05198153, 0.03535546, -0.96490516
0, 0.05247272, 0.03609514, -1.10744420, 0.05328142, 0.03736806, -0.98829731
0, 0.05374961, 0.03813925, -1.12869880, 0.05456434, 0.03954837, -1.01247280
0, 0.05499770, 0.04033642, -1.15007287, 0.05580598, 0.04188801, -1.03718538
0, 0.05619474, 0.04267692, -1.17125098, 0.05698096, 0.04437151, -1.06218880
0, 0.05731771, 0.04514372, -1.19191769, 0.05806446, 0.04697578, -1.08723685
0, 0.05834447, 0.04771235, -1.21175758, 0.05903297, 0.04966685, -1.11208327
0, 0.05925493, 0.05034887, -1.23045521, 0.05986735, 0.05240128, -1.13648182
0, 0.06003355, 0.05301140, -1.24769515, 0.06055446, 0.05512454, -1.16018628
0, 0.06067032, 0.05564714, -1.26316196, 0.06108940, 0.05777188, -1.18295039
0, 0.06116330, 0.05819643, -1.27654020, 0.06147719, 0.06027054, -1.20452793
0, 0.06151892, 0.06059206, -1.28751445, 0.06173287, 0.06254241, -1.22467264
0, 0.06175287, 0.06276265, -1.29576927, 0.06188053, 0.06450649, -1.24313830
0, 0.06188793, 0.06463573, -1.30098923, 0.06194993, 0.06608315, -1.25967866
0, 0.06195164, 0.06613990, -1.30285889, 0.06197248, 0.06719716, -1.27404749
0, 0.06197260, 0.06720832, -1.30106282, 0.06197643, 0.06778192, -1.28599855
0, 0.06197643, 0.06778131, -1.29528559, 0.06197643, 0.06778131, -1.29528559
1, 0.00000545, 0.01046930, 0.00000000, 0.00000545, 0.01046930, 0.00000000
1, 0.00000545, 0.01046930, -0.01224691, 0.00016101, 0.01046958, 0.00770789
1, 0.00000545, 0.01046930, -0.02758440, 0.00036487, 0.01047064, 0.00994657
1, 0.00001224, 0.01046930, -0.04570071, 0.00061245, 0.01047272, 0.00718165
1, 0.00016182, 0.01046958, -0.06628405, 0.00090076, 0.01047588, -0.00012127
1, 0.00038681, 0.01047079, -0.08902267, 0.00122551, 0.01048090, -0.01149658
1, 0.00067331, 0.01047332, -0.11360479, 0.00158378, 0.01048887, -0.02647866
1, 0.00101502, 0.01047724, -0.13971865, 0.00197174, 0.01050008, -0.04460191
1, 0.00140511, 0.01048443, -0.16705247, 0.00238577, 0.01051408, -0.06540072
1, 0.00183776, 0.01049568, -0.19529449, 0.00282259, 0.01053224, -0.08840948
1, 0.00230632, 0.01051075, -0.22413293, 0.00327891, 0.01055414, -0.11316258
1, 0.00280440, 0.01053082, -0.25325604, 0.00375072, 0.01058038, -0.13919442
1, 0.00332615, 0.01055577, -0.28235204, 0.00423518, 0.01061097, -0.16603939
1, 0.00386537, 0.01058636, -0.31110915, 0.00472835, 0.01064581, -0.19323187
1, 0.00441538, 0.01062200, -0.33921562, 0.00522700, 0.01068514, -0.22030625
1, 0.00497003, 0.01066302, -0.36635967, 0.00572765, 0.01072838, -0.24679694
1, 0.00552306, 0.01070861, -0.39222954, 0.00622646, 0.01077556, -0.27223832
1, 0.00606840, 0.01075848, -0.41652199, 0.00672011, 0.01082603, -0.29617657
1, 0.00660305, 0.01081179, -0.43913025, 0.00720744, 0.01087975, -0.31842908
1, 0.00712827, 0.01086880, -0.46014401, 0.00768903, 0.01093643, -0.33908441
1, 0.00764531, 0.01092906, -0.47966145, 0.00816624, 0.01099638, -0.35824291
1, 0.00815493, 0.01099277, -0.49777590, 0.00863941, 0.01105929, -0.37599982
1, 0.00865844, 0.01105974, -0.51456977, 0.00910979, 0.01112553, -0.39243904
1, 0.00915616, 0.01113006, -0.53012399, 0.00957724, 0.01119481, -0.40764292
1, 0.00964930, 0.01120357, -0.54451952, 0.01004347, 0.01126748, -0.42169382
1, 0.01013841, 0.01128052, -0.55783728, 0.01050793, 0.01134341, -0.43467408
1, 0.01062451, 0.01136076, -0.57015822, 0.01097195, 0.01142275, -0.44666606
1, 0.01110818, 0.01144453, -0.58156328, 0.01143572, 0.01150563, -0.45775211
1, 0.01159033, 0.01153180, -0.59213340, 0.01189999, 0.01159210, -0.46801459
1, 0.01207173, 0.01162283, -0.60194952, 0.01236578, 0.01168251, -0.47753585
1, 0.01255359, 0.01171777, -0.61109258, 0.01283336, 0.01177685, -0.48639824
1, 0.01303640, 0.01181681, -0.61964351, 0.01330348, 0.01187545, -0.49468411
1, 0.01352126, 0.01192018, -0.62768326, 0.01377690, 0.01197845, -0.50247582
1, 0.01400923, 0.01202827, -0.63529278, 0.01425433, 0.01208624, -0.50985573
1, 0.01450077, 0.01214120, -0.64254398, 0.01473645, 0.01219895, -0.51689683
1, 0.01499639, 0.01225926, -0.64947277, 0.01522348, 0.01231694, -0.52363481
1, 0.01549684, 0.01238276, -0.65610604, 0.01571582, 0.01244030, -0.53009599
1, 0.01600181, 0.01251175, -0.66247067, 0.01621358, 0.01256936, -0.53630670
1, 0.01651198, 0.01264658, -0.66859357, 0.01671740, 0.01270434, -0.54229327
1, 0.01702751, 0.01278747, -0.67450161, 0.01722745, 0.01284557, -0.54808202
1, 0.01754908, 0.01293476, -0.68022168, 0.01774406, 0.01299328, -0.55369929
1, 0.01807637, 0.01308861, -0.68578084, 0.01826747, 0.01314785, -0.55917147
1, 0.01861053, 0.01324953, -0.69120632, 0.01879814, 0.01330952, -0.56452504
1, 0.01915157, 0.01341780, -0.69652536, 0.01933682, 0.01347892, -0.56978649
1, 0.01969991, 0.01359376, -0.70176521, 0.01988358, 0.01365625, -0.57498230
1, 0.02025604, 0.01377792, -0.70695312, 0.02043910, 0.01384211, -0.58013896
1, 0.02082043, 0.01397064, -0.71211634, 0.02100377, 0.01403692, -0.58528296
1, 0.02139364, 0.01417253, -0.71728211, 0.02157825, 0.01424129, -0.59044077
1, 0.02197628, 0.01438413, -0.72247769, 0.02216265, 0.01445570, -0.59563889
1, 0.02256851, 0.01460588, -0.72773033, 0.02275821, 0.01468093, -0.60090380
1, 0.02317106, 0.01483853, -0.73306709, 0.02336463, 0.01491745, -0.60626183
1, 0.02378426, 0.01508259, -0.73851103, 0.02398336, 0.01516627, -0.61173580
1, 0.02440844, 0.01533873, -0.74408119, 0.02461370, 0.01542767, -0.61734498
1, 0.02504398, 0.01560767, -0.74979645, 0.02525667, 0.01570266, -0.62310850
1, 0.02569106, 0.01589000, -0.75567566, 0.02591231, 0.01599189, -0.62904550
1, 0.02635014, 0.01618654, -0.76173770, 0.02658075, 0.01629606, -0.63517509
1, 0.02702130, 0.01649800, -0.76800142, 0.02726251, 0.01661616, -0.64151642
1, 0.02770508, 0.01682533, -0.77448570, 0.02795793, 0.01695311, -0.64808861
1, 0.02840189, 0.01716947, -0.78120940, 0.02866740, 0.01730794, -0.65491079
1, 0.02911171, 0.01753125, -0.78819139, 0.02939104, 0.01768161, -0.66200208
1, 0.02983524, 0.01791190, -0.79545056, 0.03012946, 0.01807543, -0.66938167
1, 0.03057256, 0.01831245, -0.80300621, 0.03088299, 0.01849062, -0.67706937
1, 0.03132430, 0.01873428, -0.81087799, 0.03165159, 0.01892835, -0.68508551
1, 0.03209027, 0.01917838, -0.81908551, 0.03243587, 0.01939020, -0.69345041
1, 0.03287121, 0.01964644, -0.82764842, 0.03323613, 0.01987773, -0.70218443
1, 0.03366714, 0.02013982, -0.83658634, 0.03405253, 0.02039250, -0.71130788
1, 0.03447833, 0.02066013, -0.84591892, 0.03488581, 0.02093667, -0.72084110
1, 0.03530536, 0.02120936, -0.85566679, 0.03573576, 0.02151193, -0.73080684
1, 0.03614897, 0.02178981, -0.86585462, 0.03660331, 0.02212088, -0.74123746
1, 0.03701012, 0.02240417, -0.87650809, 0.03748955, 0.02276661, -0.75216771
1, 0.03788944, 0.02305521, -0.88765286, 0.03839542, 0.02345240, -0.76363237
1, 0.03878828, 0.02374655, -0.89931462, 0.03932120, 0.02418145, -0.77566621
1, 0.03970732, 0.02448171, -0.91151903, 0.04026830, 0.02495824, -0.78830397
1, 0.04064736, 0.02526481, -0.92429178, 0.04123719, 0.02578708, -0.80158045
1, 0.04160942, 0.02610066, -0.93765852, 0.04222822, 0.02667275, -0.81553039
1, 0.04259378, 0.02699411, -0.95164495, 0.04324217, 0.02762116, -0.83018856
1, 0.04360105, 0.02795108, -0.96627672, 0.04427899, 0.02863839, -0.84558973
1, 0.04463152, 0.02897809, -0.98157952, 0.04533887, 0.02973166, -0.86176867
1, 0.04568520, 0.03008247, -0.99757902, 0.04642121, 0.03090882, -0.87876013
1, 0.04676163, 0.03127247, -1.01430089, 0.04752505, 0.03217875, -0.89659889
1, 0.04785986, 0.03255741, -1.03177230, 0.04864890, 0.03355163, -0.91532062
1, 0.04897833, 0.03394793, -1.05003142, 0.04979052, 0.03503925, -0.93496769
1, 0.05011499, 0.03545676, -1.06912139, 0.05094655, 0.03665494, -0.95558548
1, 0.05126613, 0.03709763, -1.08907789, 0.05211230, 0.03841409, -0.97721373
1, 0.05242150, 0.03887801, -1.10976557, 0.05327460, 0.04032264, -0.99976204
1, 0.05356373, 0.04079542, -1.13087800, 0.05441389, 0.04237645, -1.02300993
1, 0.05467426, 0.04284370, -1.15210132, 0.05550845, 0.04456485, -1.04673122
1, 0.05573380, 0.04501231, -1.17312165, 0.05653635, 0.04687131, -1.07069977
1, 0.05672268, 0.04728425, -1.19362513, 0.05747667, 0.04927236, -1.09468940
1, 0.05762251, 0.04963654, -1.21329790, 0.05831034, 0.05173570, -1.11847396
1, 0.05841698, 0.05203841, -1.23182608, 0.05902249, 0.05422102, -1.14182730
1, 0.05909380, 0.05445224, -1.24889582, 0.05960388, 0.05667915, -1.16452324
1, 0.05964575, 0.05683227, -1.26419324, 0.06005242, 0.05905285, -1.18633564
1, 0.06007232, 0.05912692, -1.27740448, 0.06037443, 0.06127880, -1.20703832
1, 0.06038001, 0.06127887, -1.28821567, 0.06058445, 0.06328948, -1.22640514
1, 0.06058286, 0.06322742, -1.29631295, 0.06070395, 0.06501553, -1.24420992
1, 0.06070048, 0.06491130, -1.30138245, 0.06075887, 0.06638924, -1.26022652
1, 0.06075673, 0.06627010, -1.30311030, 0.06077627, 0.06735567, -1.27422877
1, 0.06077546, 0.06724703, -1.30118263, 0.06077905, 0.06779422, -1.28599052
1, 0.06077905, 0.06779097, -1.29528559, 0.06077905, 0.06779097, -1.29528559
2, 0.00000422, 0.01273858, 0.00000000, 0.00000422, 0.01273858, 0.00000000
2, 0.00000422, 0.01273858, -0.01112386, 0.00017360, 0.01273890, 0.00683448
2, 0.00000422, 0.01273858, -0.02522509, 0.00039398, 0.01274012, 0.00855191
2, 0.00000567, 0.01273858, -0.04200983, 0.00066080, 0.01274245, 0.00558489
2, 0.00015583, 0.01273883, -0.06118421, 0.00097051, 0.01274596, -0.00163396
2, 0.00039172, 0.01274010, -0.08245434, 0.00131877, 0.01275208, -0.01267204
2, 0.00069293, 0.01274278, -0.10552636, 0.00170226, 0.01276121, -0.02709674
2, 0.00105297, 0.01274701, -0.13010639, 0.00211692, 0.01277394, -0.04447545
2, 0.00146446, 0.01275513, -0.15590055, 0.00255910, 0.01279006, -0.06437558
2, 0.00192099, 0.01276729, -0.18261498, 0.00302482, 0.01281075, -0.08636449
2, 0.00241568, 0.01278408, -0.20995580, 0.00351083, 0.01283572, -0.11000960
2, 0.00294167, 0.01280615, -0.23762913, 0.00401293, 0.01286562, -0.13487830
2, 0.00349248, 0.01283381, -0.26534110, 0.00452769, 0.01290034, -0.16053796
2, 0.00406157, 0.01286765, -0.29279784, 0.00505107, 0.01293987, -0.18655600
2, 0.00464181, 0.01290717, -0.31970547, 0.00557961, 0.01298439, -0.21249980
2, 0.00522656, 0.01295255, -0.34577012, 0.00610950, 0.01303328, -0.23793675
2, 0.00580923, 0.01300312, -0.37069792, 0.00663665, 0.01308646, -0.26243424
2, 0.00638317, 0.01305827, -0.39420306, 0.00715743, 0.01314331, -0.28557070
2, 0.00694534, 0.01311729, -0.41618564, 0.00767070, 0.01320359, -0.30717822
2, 0.00749718, 0.01318031, -0.43673161, 0.00817733, 0.01326717, -0.32734255
2, 0.00804014, 0.01324696, -0.45593498, 0.00867876, 0.01333425, -0.34616045
2, 0.00857513, 0.01331734, -0.47388276, 0.00917546, 0.01340456, -0.36372138
2, 0.00910369, 0.01339141, -0.49064642, 0.00966883, 0.01347848, -0.38009861
2, 0.00962582, 0.01346906, -0.50629530, 0.01015883, 0.01355573, -0.39536319
2, 0.01014294, 0.01355025, -0.52089875, 0.01064701, 0.01363661, -0.40958617
2, 0.01065570, 0.01363521, -0.53452612, 0.01113302, 0.01372105, -0.42283860
2, 0.01116512, 0.01372379, -0.54724677, 0.01161808, 0.01380915, -0.43519153
2, 0.01167168, 0.01381620, -0.55913004, 0.01210252, 0.01390109, -0.44671604
2, 0.01217638, 0.01391247, -0.57024528, 0.01258723, 0.01399694, -0.45748315
2, 0.01268001, 0.01401278, -0.58066184, 0.01307298, 0.01409698, -0.46756394
2, 0.01318388, 0.01411741, -0.59044907, 0.01356030, 0.01420133, -0.47702946
2, 0.01368827, 0.01422644, -0.59967632, 0.01404992, 0.01431023, -0.48595075
2, 0.01419451, 0.01434018, -0.60841293, 0.01454252, 0.01442390, -0.49439887
2, 0.01470362, 0.01445903, -0.61672827, 0.01503897, 0.01454272, -0.50244488
2, 0.01521602, 0.01458311, -0.62468446, 0.01553987, 0.01466686, -0.51015228
2, 0.01573232, 0.01471274, -0.63231485, 0.01604550, 0.01479667, -0.51755437
2, 0.01625298, 0.01484819, -0.63964557, 0.01655621, 0.01493228, -0.52467688
2, 0.01677789, 0.01498953, -0.64670273, 0.01707210, 0.01507397, -0.53154555
2, 0.01730761, 0.01513713, -0.65351247, 0.01759360, 0.01522200, -0.53818614
2, 0.01784212, 0.01529114, -0.66010091, 0.01812098, 0.01537665, -0.54462438
2, 0.01838231, 0.01545198, -0.66649419, 0.01865467, 0.01553826, -0.55088601
2, 0.01892770, 0.01561976, -0.67271865, 0.01919466, 0.01570711, -0.55699688
2, 0.01947934, 0.01579500, -0.67880091, 0.01974152, 0.01588351, -0.56298294
2, 0.02003735, 0.01597799, -0.68476762, 0.02029591, 0.01606806, -0.56887016
2, 0.02060216, 0.01616912, -0.69064540, 0.02085785, 0.01626100, -0.57468451
2, 0.02117387, 0.01636874, -0.69646091, 0.02142798, 0.01646288, -0.58045196
2, 0.02175318, 0.01657736, -0.70224079, 0.02200690, 0.01667426, -0.58619846
2, 0.02234060, 0.01679552, -0.70801166, 0.02259482, 0.01689559, -0.59194999
2, 0.02293654, 0.01702373, -0.71380017, 0.02319224, 0.01712752, -0.59773252
2, 0.02354128, 0.01726252, -0.71963297, 0.02379993, 0.01737070, -0.60357200
2, 0.02415526, 0.01751247, -0.72553653, 0.02441802, 0.01762575, -0.60949428
2, 0.02477896, 0.01777422, -0.73153376, 0.02504741, 0.01789352, -0.61552200
2, 0.02541244, 0.01804831, -0.73764402, 0.02568764, 0.01817440, -0.62167462
2, 0.02605620, 0.01833552, -0.74388647, 0.02633943, 0.01846930, -0.62797148
2, 0.02671017, 0.01863634, -0.75028031, 0.02700286, 0.01877890, -0.63443191
2, 0.02737464, 0.01895151, -0.75684471, 0.02767783, 0.01910380, -0.64107524
2, 0.02804976, 0.01928176, -0.76359887, 0.02836491, 0.01944505, -0.64792079
2, 0.02873590, 0.01962797, -0.77056196, 0.02906407, 0.01980338, -0.65498791
2, 0.02943342, 0.01999107, -0.77775317, 0.02977568, 0.02017986, -0.66229591
2, 0.03014210, 0.02037174, -0.78519169, 0.03049975, 0.02057537, -0.66986412
2, 0.03086239, 0.02077108, -0.79289674, 0.03123674, 0.02099115, -0.67771195
2, 0.03159451, 0.02119016, -0.80088812, 0.03198659, 0.02142820, -0.68585971
2, 0.03233879, 0.02163019, -0.80918612, 0.03274949, 0.02188782, -0.69432843
2, 0.03309477, 0.02209196, -0.81781101, 0.03352554, 0.02237126, -0.70313917
2, 0.03386317, 0.02257709, -0.82678307, 0.03431499, 0.02288004, -0.71231298
2, 0.03464384, 0.02308680, -0.83612259, 0.03511765, 0.02341547, -0.72187091
2, 0.03543673, 0.02362240, -0.84584985, 0.03593415, 0.02397958, -0.73183401
2, 0.03624227, 0.02418571, -0.85598548, 0.03676417, 0.02457393, -0.74222437
2, 0.03706103, 0.02477884, -0.86655154, 0.03760812, 0.02520068, -0.75306817
2, 0.03789374, 0.02540422, -0.87757044, 0.03846700, 0.02586283, -0.76439263
2, 0.03874076, 0.02606429, -0.88906459, 0.03934134, 0.02656322, -0.77622499
2, 0.03960320, 0.02676235, -0.90105642, 0.04023128, 0.02730482, -0.78859245
2, 0.04048139, 0.02750148, -0.91356832, 0.04113770, 0.02809154, -0.80152223
2, 0.04137589, 0.02828534, -0.92662272, 0.04206084, 0.02892729, -0.81504156
2, 0.04228742, 0.02911827, -0.94024202, 0.04300058, 0.02981618, -0.82917765
2, 0.04321582, 0.03000431, -0.95444864, 0.04395729, 0.03076340, -0.84395772
2, 0.04416149, 0.03094880, -0.96926500, 0.04493063, 0.03177430, -0.85940901
2, 0.04512434, 0.03195733, -0.98471349, 0.04592015, 0.03285496, -0.87555871
2, 0.04610384, 0.03303603, -1.00081654, 0.04692494, 0.03401214, -0.89243406
2, 0.04709931, 0.03419198, -1.01759656, 0.04794361, 0.03525332, -0.91006227
2, 0.04810957, 0.03543316, -1.03507809, 0.04897428, 0.03658705, -0.92847186
2, 0.04913280, 0.03676853, -1.05330142, 0.05001460, 0.03802348, -0.94770092
2, 0.05016704, 0.03820918, -1.07231386, 0.05106112, 0.03957390, -0.96779183
2, 0.05120868, 0.03976672, -1.09215537, 0.05210928, 0.04125144, -0.98878178
2, 0.05224818, 0.04144650, -1.11269509, 0.05314678, 0.04305961, -1.01058830
2, 0.05326984, 0.04324441, -1.13363134, 0.05415584, 0.04499202, -1.03300921
2, 0.05425724, 0.04515297, -1.15465505, 0.05511721, 0.04703619, -1.05583714
2, 0.05519373, 0.04716104, -1.17545712, 0.05601218, 0.04917483, -1.07886473
2, 0.05606272, 0.04925182, -1.19572846, 0.05682342, 0.05138441, -1.10188459
2, 0.05684916, 0.05140379, -1.21515998, 0.05753585, 0.05363438, -1.12468937
2, 0.05754010, 0.05358917, -1.23344260, 0.05813841, 0.05588752, -1.14707169
2, 0.05812614, 0.05577429, -1.25026722, 0.05862530, 0.05809971, -1.16882417
2, 0.05860250, 0.05791972, -1.26532475, 0.05899685, 0.06022065, -1.18973945
