span_index,ss_x,ss_y,ss_z,ps_x,ps_y,ps_z
0, 0.02463067, -0.00829182, 0.01015560, 0.02463067, -0.00829182, 0.01015560
0, 0.02464105, -0.00849319, 0.00999348, 0.02468161, -0.00810840, 0.01032967
0, 0.02471278, -0.00868177, 0.00987002, 0.02478844, -0.00797397, 0.01049003
0, 0.02484085, -0.00886040, 0.00978260, 0.02494612, -0.00788524, 0.01063969
0, 0.02501989, -0.00903135, 0.00972849, 0.02515035, -0.00783913, 0.01078124
0, 0.02524562, -0.00919684, 0.00970537, 0.02539696, -0.00783251, 0.01091673
0, 0.02551289, -0.00935846, 0.00971057, 0.02568175, -0.00786225, 0.01104778
0, 0.02581698, -0.00951768, 0.00974150, 0.02600022, -0.00792505, 0.01117554
0, 0.02615325, -0.00967583, 0.00979557, 0.02634789, -0.00801758, 0.01130099
0, 0.02651703, -0.00983404, 0.00987004, 0.02672080, -0.00813644, 0.01142499
0, 0.02690285, -0.00999301, 0.00996174, 0.02711380, -0.00827787, 0.01154801
0, 0.02730554, -0.01015354, 0.01006752, 0.02752269, -0.00843806, 0.01167069
0, 0.02772026, -0.01031633, 0.01018399, 0.02794178, -0.00861264, 0.01179320
0, 0.02814123, -0.01048182, 0.01030735, 0.02836714, -0.00879744, 0.01191638
0, 0.02856258, -0.01065028, 0.01043340, 0.02879246, -0.00898734, 0.01204024
0, 0.02897874, -0.01082183, 0.01055811, 0.02921334, -0.00917789, 0.01216532
0, 0.02938868, -0.01099655, 0.01068038, 0.02962830, -0.00936781, 0.01229150
0, 0.02979347, -0.01117479, 0.01080053, 0.03003849, -0.00955764, 0.01241910
0, 0.03019314, -0.01135644, 0.01091846, 0.03044450, -0.00974772, 0.01254812
0, 0.03058889, -0.01154191, 0.01103456, 0.03084631, -0.00993827, 0.01267838
0, 0.03098057, -0.01173103, 0.01114870, 0.03124515, -0.01012989, 0.01281013
0, 0.03136993, -0.01192446, 0.01126151, 0.03164158, -0.01032307, 0.01294346
0, 0.03175701, -0.01212218, 0.01137298, 0.03203636, -0.01051831, 0.01307843
0, 0.03214284, -0.01232456, 0.01148349, 0.03243025, -0.01071624, 0.01321520
0, 0.03252800, -0.01253186, 0.01159328, 0.03282405, -0.01091746, 0.01335385
0, 0.03291380, -0.01274461, 0.01170288, 0.03321852, -0.01112265, 0.01349455
0, 0.03330064, -0.01296304, 0.01181252, 0.03361430, -0.01133245, 0.01363733
0, 0.03368962, -0.01318767, 0.01192267, 0.03401271, -0.01154785, 0.01378258
0, 0.03408166, -0.01341901, 0.01203381, 0.03441447, -0.01176960, 0.01393042
0, 0.03447755, -0.01365751, 0.01214634, 0.03482006, -0.01199844, 0.01408084
0, 0.03487791, -0.01390370, 0.01226056, 0.03523078, -0.01223526, 0.01423442
0, 0.03528209, -0.01415747, 0.01237615, 0.03564542, -0.01247983, 0.01439058
0, 0.03569080, -0.01441946, 0.01249343, 0.03606501, -0.01273286, 0.01454985
0, 0.03610350, -0.01468962, 0.01261210, 0.03648886, -0.01299437, 0.01471192
0, 0.03652074, -0.01496856, 0.01273242, 0.03691714, -0.01326470, 0.01487687
0, 0.03694201, -0.01525626, 0.01285410, 0.03735000, -0.01354428, 0.01504481
0, 0.03736743, -0.01555312, 0.01297718, 0.03778718, -0.01383328, 0.01521561
0, 0.03779686, -0.01585934, 0.01310155, 0.03822881, -0.01413215, 0.01538937
0, 0.03823040, -0.01617531, 0.01322722, 0.03867494, -0.01444126, 0.01556611
0, 0.03866802, -0.01650136, 0.01335414, 0.03912529, -0.01476085, 0.01574571
0, 0.03910986, -0.01683792, 0.01348233, 0.03957997, -0.01509137, 0.01592824
0, 0.03955550, -0.01718510, 0.01361154, 0.04003869, -0.01543308, 0.01611352
0, 0.04000481, -0.01754320, 0.01374164, 0.04050172, -0.01578656, 0.01630175
0, 0.04045806, -0.01791278, 0.01387272, 0.04096864, -0.01615202, 0.01649267
0, 0.04091518, -0.01829419, 0.01400468, 0.04143975, -0.01653010, 0.01668647
0, 0.04137553, -0.01868744, 0.01413715, 0.04191448, -0.01692093, 0.01688284
0, 0.04183945, -0.01909318, 0.01427025, 0.04239293, -0.01732506, 0.01708183
0, 0.04230680, -0.01951175, 0.01440386, 0.04287497, -0.01774293, 0.01728340
0, 0.04277733, -0.01994344, 0.01453777, 0.04336044, -0.01817498, 0.01748747
0, 0.04325062, -0.02038842, 0.01467170, 0.04384886, -0.01862143, 0.01769371
0, 0.04372675, -0.02084724, 0.01480562, 0.04434049, -0.01908304, 0.01790233
0, 0.04420568, -0.02132039, 0.01493944, 0.04483461, -0.01955993, 0.01811287
0, 0.04468690, -0.02180799, 0.01507278, 0.04533155, -0.02005293, 0.01832553
0, 0.04517025, -0.02231048, 0.01520548, 0.04583049, -0.02056211, 0.01853977
0, 0.04565540, -0.02282814, 0.01533725, 0.04633171, -0.02108837, 0.01875581
0, 0.04614240, -0.02336161, 0.01546802, 0.04683443, -0.02163180, 0.01897309
0, 0.04663072, -0.02391103, 0.01559739, 0.04733862, -0.02219309, 0.01919158
0, 0.04712007, -0.02447679, 0.01572508, 0.04784386, -0.02277270, 0.01941099
0, 0.04761031, -0.02505934, 0.01585097, 0.04834966, -0.02337100, 0.01963089
0, 0.04810100, -0.02565883, 0.01597490, 0.04885576, -0.02398872, 0.01985098
0, 0.04859187, -0.02627558, 0.01609679, 0.04936170, -0.02462637, 0.02007075
0, 0.04908255, -0.02690980, 0.01621654, 0.04986670, -0.02528420, 0.02028942
0, 0.04957262, -0.02756168, 0.01633402, 0.05037033, -0.02596279, 0.02050647
0, 0.05006199, -0.02823180, 0.01644935, 0.05087218, -0.02666278, 0.02072137
0, 0.05054974, -0.02891978, 0.01656208, 0.05137139, -0.02738431, 0.02093317
0, 0.05103602, -0.02962653, 0.01667253, 0.05186756, -0.02812804, 0.02114127
0, 0.05151987, -0.03035166, 0.01678029, 0.05235987, -0.02889415, 0.02134469
0, 0.05200109, -0.03109568, 0.01688546, 0.05284793, -0.02968334, 0.02154278
0, 0.05247914, -0.03185872, 0.01698795, 0.05333061, -0.03049536, 0.02173418
0, 0.05295351, -0.03264099, 0.01708773, 0.05380756, -0.03133094, 0.02191819
0, 0.05342353, -0.03344245, 0.01718466, 0.05427790, -0.03219011, 0.02209360
