span_index,ss_mp,ss_theta,ps_mp,ps_theta
0, 0.00000000, 0.00000000, 0.00000000, 0.00000000
0, 0.00590760, -0.01461059, 0.00595395, 0.01433571
0, 0.02312641, -0.02817845, 0.02330876, 0.02708826
0, 0.05090041, -0.04076225, 0.05130388, 0.03833032
0, 0.08847362, -0.05242066, 0.08917873, 0.04813456
0, 0.13509001, -0.06321235, 0.13617277, 0.05657366
0, 0.18999360, -0.07319599, 0.19152544, 0.06372029
0, 0.25242837, -0.08243026, 0.25447616, 0.06964712
0, 0.32163832, -0.09097383, 0.32426439, 0.07442683
0, 0.39686746, -0.09888537, 0.40012957, 0.07813208
0, 0.47735977, -0.10622356, 0.48131113, 0.08083555
0, 0.56235925, -0.11304705, 0.56704852, 0.08260991
0, 0.65110990, -0.11941454, 0.65658118, 0.08352784
0, 0.74285572, -0.12538468, 0.74914854, 0.08366201
0, 0.83684071, -0.13101615, 0.84399005, 0.08308508
0, 0.93230885, -0.13636762, 0.94034515, 0.08186974
0, 1.02850415, -0.14149777, 1.03745328, 0.08008866
0, 1.12467060, -0.14646526, 1.13455388, 0.07781450
0, 1.22005220, -0.15132877, 1.23088639, 0.07511994
0, 1.31389295, -0.15614697, 1.32569024, 0.07207766
0, 1.40543799, -0.16097846, 1.41820604, 0.06876023
0, 1.49417469, -0.16586692, 1.50791847, 0.06522003
0, 1.58013090, -0.17082275, 1.59485680, 0.06146438
0, 1.66340762, -0.17585184, 1.67912399, 0.05749451
0, 1.74410581, -0.18096008, 1.76082301, 0.05331164
0, 1.82232646, -0.18615335, 1.84005682, 0.04891699
0, 1.89817054, -0.19143756, 1.91692840, 0.04431179
0, 1.97173904, -0.19681859, 1.99154070, 0.03949726
0, 2.04313294, -0.20230232, 2.06399668, 0.03447462
0, 2.11245322, -0.20789466, 2.13439932, 0.02924510
0, 2.17980085, -0.21360150, 2.20285158, 0.02380993
0, 2.24527683, -0.21942871, 2.26945642, 0.01817032
0, 2.30898212, -0.22538220, 2.33431680, 0.01232750
0, 2.37101771, -0.23146785, 2.39753570, 0.00628269
0, 2.43148457, -0.23769155, 2.45921607, 0.00003712
0, 2.49048370, -0.24405920, 2.51946088, -0.00640799
0, 2.54811606, -0.25057669, 2.57837310, -0.01305142
0, 2.60448265, -0.25724990, 2.63605569, -0.01989194
0, 2.65968443, -0.26408473, 2.69261160, -0.02692833
0, 2.71382239, -0.27108707, 2.74814382, -0.03415936
0, 2.76699641, -0.27826272, 2.80275422, -0.04158385
0, 2.81926389, -0.28561437, 2.85650261, -0.04920179
0, 2.87062700, -0.29314064, 2.90939416, -0.05701473
0, 2.92108423, -0.30083988, 2.96143038, -0.06502432
0, 2.97063407, -0.30871042, 3.01261278, -0.07323223
0, 3.01927500, -0.31675062, 3.06294287, -0.08164010
0, 3.06700551, -0.32495882, 3.11242217, -0.09024959
0, 3.11382410, -0.33333337, 3.16105219, -0.09906235
0, 3.15972924, -0.34187261, 3.20883443, -0.10808003
0, 3.20471944, -0.35057490, 3.25577041, -0.11730430
0, 3.24879317, -0.35943857, 3.30186165, -0.12673679
0, 3.29194893, -0.36846197, 3.34710965, -0.13637917
0, 3.33418520, -0.37764346, 3.39151592, -0.14623309
0, 3.37550047, -0.38698137, 3.43508198, -0.15630021
0, 3.41589323, -0.39647406, 3.47780934, -0.16658217
0, 3.45536197, -0.40611986, 3.51969951, -0.17708063
0, 3.49390518, -0.41591713, 3.56075401, -0.18779725
0, 3.53152134, -0.42586420, 3.60097433, -0.19873367
0, 3.56820895, -0.43595944, 3.64036200, -0.20989156
0, 3.60396648, -0.44620118, 3.67891853, -0.22127256
0, 3.63879333, -0.45658813, 3.71664548, -0.23287949
0, 3.67270220, -0.46712430, 3.75354509, -0.24473246
0, 3.70571608, -0.47781781, 3.78962016, -0.25686491
0, 3.73785821, -0.48867689, 3.82487347, -0.26931063
0, 3.76915184, -0.49970976, 3.85930784, -0.28210338
0, 3.79962021, -0.51092463, 3.89292606, -0.29527696
0, 3.82928657, -0.52232973, 3.92573093, -0.30886513
0, 3.85817416, -0.53393328, 3.95772525, -0.32290170
0, 3.88630624, -0.54574351, 3.98891181, -0.33742043
0, 3.91370603, -0.55776863, 4.01929342, -0.35245510
0, 3.94039680, -0.57001686, 4.04887288, -0.36803950
0, 3.96640178, -0.58249643, 4.07765299, -0.38420740
0, 3.99174422, -0.59521555, 4.10563654, -0.40099260
0, 4.01644737, -0.60818246, 4.13282633, -0.41842886
0, 4.04053446, -0.62140536, 4.15922517, -0.43654997
0, 4.06402876, -0.63489249, 4.18483585, -0.45538971
0, 4.08695349, -0.64865206, 4.20966118, -0.47498186
0, 4.10933191, -0.66269230, 4.23370394, -0.49536020
0, 4.13118726, -0.67702142, 4.25696695, -0.51655852
0, 4.15254279, -0.69164765, 4.27945299, -0.53861059
0, 4.17341862, -0.70656909, 4.30115781, -0.56153005
0, 4.19381180, -0.72170895, 4.32202489, -0.58518172
0, 4.21370906, -0.73695693, 4.34197432, -0.60936372
0, 4.23309706, -0.75220254, 4.36092607, -0.63387383
0, 4.25196246, -0.76733531, 4.37880010, -0.65850985
0, 4.27029194, -0.78224475, 4.39551640, -0.68306958
0, 4.28807215, -0.79682040, 4.41099493, -0.70735081
0, 4.30528978, -0.81095177, 4.42515567, -0.73115134
0, 4.32193148, -0.82452837, 4.43791857, -0.75426896
0, 4.33798392, -0.83743975, 4.44920363, -0.77650147
0, 4.35343377, -0.84957541, 4.45893080, -0.79764665
0, 4.36826769, -0.86082487, 4.46702006, -0.81750232
0, 4.38247236, -0.87107767, 4.47339138, -0.83586626
0, 4.39603444, -0.88022331, 4.47796474, -0.85253627
0, 4.40894060, -0.88815133, 4.48066009, -0.86731014
0, 4.42117750, -0.89475124, 4.48139742, -0.87998567
0, 4.43273181, -0.89991257, 4.48009669, -0.89036065
