NBlades 2
Blade 0
	npoints 180
	nsections 20
	section 0
		xss rth_ss r xps rth_ps r
		0.022790 -0.007917 0.197505 0.031325 -0.038632 0.196896
		0.023340 -0.008988 0.197424 0.031683 -0.039378 0.196851
		0.023890 -0.010096 0.197343 0.032038 -0.040129 0.196807
		0.024442 -0.011244 0.197262 0.032390 -0.040884 0.196764
		0.024993 -0.012429 0.197181 0.032739 -0.041643 0.196721
		0.025544 -0.013651 0.197101 0.033085 -0.042407 0.196678
		0.026094 -0.014910 0.197021 0.033428 -0.043174 0.196635
		0.026645 -0.016208 0.196941 0.033768 -0.043946 0.196593
		0.027197 -0.017546 0.196861 0.034105 -0.044721 0.196551
		0.027750 -0.018927 0.196782 0.034439 -0.045501 0.196510
		0.028308 -0.020356 0.196702 0.034770 -0.046283 0.196468
		0.028871 -0.021836 0.196622 0.035097 -0.047070 0.196428
		0.029442 -0.023373 0.196541 0.035422 -0.047859 0.196387
		0.030025 -0.024973 0.196458 0.035744 -0.048652 0.196347
		0.030622 -0.026642 0.196375 0.036062 -0.049448 0.196308
		0.031234 -0.028381 0.196290 0.036378 -0.050247 0.196268
		0.031863 -0.030188 0.196203 0.036690 -0.051050 0.196229
		0.032508 -0.032057 0.196114 0.037000 -0.051856 0.196191
		0.033167 -0.033977 0.196024 0.037307 -0.052667 0.196153
		0.033836 -0.035934 0.195934 0.037612 -0.053484 0.196115
		0.034512 -0.037916 0.195843 0.037917 -0.054310 0.196078
		0.035193 -0.039913 0.195753 0.038224 -0.055152 0.196041
		0.035876 -0.041918 0.195663 0.038542 -0.056033 0.196004
		0.036560 -0.043927 0.195574 0.038806 -0.056771 0.195968
		0.037245 -0.045938 0.195486 0.038962 -0.057210 0.195932
		0.037930 -0.047949 0.195399 0.039032 -0.057397 0.195897
		0.038615 -0.049961 0.195312 0.039057 -0.057461 0.195863
		0.039300 -0.051972 0.195227 0.039073 -0.057500 0.195828
		0.039985 -0.053984 0.195142 0.039085 -0.057529 0.195795
		0.040600 -0.055792 0.195067 0.039097 -0.057556 0.195761
		0.040776 -0.056283 0.195046 0.039109 -0.057580 0.195729
		0.040865 -0.056534 0.195036 0.039121 -0.057603 0.195697
		0.040914 -0.056686 0.195030 0.039134 -0.057626 0.195666
		0.040942 -0.056781 0.195026 0.039148 -0.057649 0.195636
		0.040958 -0.056836 0.195024 0.039162 -0.057672 0.195608
		0.040969 -0.056879 0.195023 0.039177 -0.057694 0.195588
		0.040977 -0.056915 0.195022 0.039193 -0.057716 0.195566
		0.040984 -0.056946 0.195021 0.039209 -0.057737 0.195557
		0.040989 -0.056978 0.195021 0.039225 -0.057758 0.195555
		0.040993 -0.057008 0.195020 0.039242 -0.057779 0.195553
		0.040996 -0.057039 0.195020 0.039260 -0.057799 0.195550
		0.040999 -0.057069 0.195019 0.039278 -0.057818 0.195548
		0.041000 -0.057102 0.195019 0.039297 -0.057837 0.195546
		0.040999 -0.057134 0.195019 0.039316 -0.057856 0.195543
		0.040999 -0.057166 0.195019 0.039336 -0.057874 0.195541
		0.040998 -0.057197 0.195020 0.039356 -0.057891 0.195538
		0.040995 -0.057229 0.195020 0.039377 -0.057908 0.195535
		0.040991 -0.057260 0.195020 0.039398 -0.057924 0.195532
		0.040987 -0.057290 0.195021 0.039419 -0.057940 0.195529
		0.040981 -0.057320 0.195022 0.039441 -0.057955 0.195526
		0.040975 -0.057351 0.195022 0.039464 -0.057970 0.195523
		0.040967 -0.057381 0.195023 0.039487 -0.057984 0.195519
		0.040959 -0.057411 0.195024 0.039510 -0.057998 0.195516
		0.040949 -0.057440 0.195025 0.039533 -0.058010 0.195512
		0.040939 -0.057470 0.195027 0.039557 -0.058022 0.195509
		0.040928 -0.057499 0.195028 0.039581 -0.058034 0.195505
		0.040916 -0.057528 0.195029 0.039606 -0.058045 0.195501
		0.040903 -0.057556 0.195031 0.039630 -0.058055 0.195497
		0.040889 -0.057584 0.195033 0.039655 -0.058065 0.195493
		0.040874 -0.057611 0.195034 0.039680 -0.058073 0.195489
		0.040859 -0.057638 0.195036 0.039706 -0.058082 0.195485
		0.040842 -0.057665 0.195038 0.039732 -0.058089 0.195481
		0.040825 -0.057691 0.195040 0.039757 -0.058096 0.195477
		0.040807 -0.057716 0.195043 0.039783 -0.058102 0.195473
		0.040788 -0.057741 0.195045 0.039809 -0.058108 0.195469
		0.040769 -0.057765 0.195047 0.039834 -0.058112 0.195465
		0.040749 -0.057789 0.195050 0.039860 -0.058116 0.195461
		0.040728 -0.057812 0.195052 0.039886 -0.058120 0.195457
		0.040706 -0.057834 0.195055 0.039914 -0.058122 0.195452
		0.040683 -0.057856 0.195057 0.039941 -0.058124 0.195448
		0.040660 -0.057877 0.195060 0.039968 -0.058125 0.195444
		0.040637 -0.057897 0.195063 0.039996 -0.058126 0.195439
		0.040612 -0.057917 0.195066 0.040024 -0.058125 0.195435
		0.040587 -0.057935 0.195069 0.040050 -0.058124 0.195431
		0.040562 -0.057953 0.195072 0.040076 -0.058123 0.195426
		0.040536 -0.057970 0.195075 0.040102 -0.058121 0.195422
		0.040509 -0.057986 0.195079 0.040128 -0.058118 0.195418
		0.040482 -0.058002 0.195082 0.040154 -0.058114 0.195414
		0.040450 -0.058019 0.195086 0.040184 -0.058109 0.195410
		0.040413 -0.058037 0.195090 0.040218 -0.058102 0.195405
		0.040367 -0.058056 0.195096 0.040259 -0.058092 0.195400
		0.040309 -0.058077 0.195103 0.040309 -0.058077 0.195393
	section 1
		xss rth_ss r xps rth_ps r
		0.000198 -0.000404 0.202455 0.000198 -0.000404 0.202455
		0.000204 -0.000333 0.202455 0.000198 -0.000408 0.202455
		0.000217 -0.000216 0.202455 0.000201 -0.000463 0.202455
		0.000237 -0.000073 0.202455 0.000206 -0.000512 0.202455
		0.000260 0.000062 0.202455 0.000212 -0.000562 0.202455
		0.000276 0.000148 0.202455 0.000221 -0.000620 0.202455
		0.000293 0.000225 0.202455 0.000234 -0.000696 0.202455
		0.000318 0.000318 0.202455 0.000248 -0.000764 0.202455
		0.000376 0.000507 0.202455 0.000258 -0.000807 0.202455
		0.000449 0.000728 0.202455 0.000266 -0.000841 0.202455
		0.000521 0.000925 0.202455 0.000274 -0.000871 0.202455
		0.000623 0.001182 0.202455 0.000283 -0.000901 0.202455
		0.000727 0.001422 0.202455 0.000293 -0.000933 0.202455
		0.000852 0.001692 0.202455 0.000306 -0.000966 0.202455
		0.000987 0.001965 0.202455 0.000323 -0.001008 0.202455
		0.001132 0.002236 0.202455 0.000348 -0.001063 0.202455
		0.001291 0.002517 0.202455 0.000391 -0.001150 0.202455
		0.001453 0.002785 0.202454 0.000431 -0.001229 0.202455
		0.001625 0.003054 0.202454 0.000460 -0.001284 0.202455
		0.001800 0.003313 0.202454 0.000489 -0.001335 0.202455
		0.001981 0.003564 0.202453 0.000527 -0.001397 0.202455
		0.002163 0.003804 0.202452 0.000583 -0.001481 0.202455
		0.002348 0.004035 0.202451 0.000651 -0.001580 0.202455
		0.002533 0.004253 0.202449 0.000706 -0.001656 0.202455
		0.002720 0.004462 0.202447 0.000768 -0.001736 0.202455
		0.002906 0.004657 0.202446 0.000855 -0.001843 0.202455
		0.003093 0.004844 0.202444 0.000951 -0.001956 0.202455
		0.003276 0.005017 0.202441 0.001044 -0.002060 0.202455
		0.003463 0.005184 0.202438 0.001173 -0.002197 0.202455
		0.003641 0.005336 0.202435 0.001303 -0.002330 0.202455
		0.003828 0.005485 0.202431 0.001466 -0.002487 0.202455
		0.004002 0.005616 0.202427 0.001643 -0.002652 0.202455
		0.004187 0.005747 0.202423 0.001864 -0.002848 0.202454
		0.004361 0.005864 0.202418 0.002112 -0.003060 0.202452
		0.004536 0.005974 0.202414 0.002403 -0.003299 0.202450
		0.004719 0.006081 0.202408 0.002751 -0.003577 0.202446
		0.004882 0.006172 0.202402 0.003169 -0.003898 0.202439
		0.005064 0.006265 0.202396 0.003659 -0.004267 0.202428
		0.005236 0.006348 0.202389 0.004256 -0.004708 0.202414
		0.005396 0.006419 0.202382 0.004971 -0.005230 0.202396
		0.005584 0.006496 0.202376 0.005720 -0.005777 0.202374
		0.005748 0.006558 0.202367 0.006393 -0.006270 0.202349
		0.005905 0.006612 0.202360 0.007016 -0.006732 0.202322
		0.006100 0.006673 0.202352 0.007608 -0.007177 0.202292
		0.006259 0.006718 0.202342 0.008175 -0.007610 0.202261
		0.006416 0.006757 0.202334 0.008723 -0.008036 0.202228
		0.006626 0.006803 0.202326 0.009257 -0.008457 0.202193
		0.006771 0.006831 0.202313 0.009777 -0.008876 0.202157
		0.006921 0.006855 0.202305 0.010288 -0.009295 0.202119
		0.007163 0.006886 0.202299 0.010789 -0.009714 0.202081
		0.007280 0.006898 0.202283 0.011282 -0.010135 0.202042
		0.007377 0.006906 0.202273 0.011769 -0.010559 0.202003
		0.007545 0.006911 0.202267 0.012249 -0.010985 0.201963
		0.007942 0.006916 0.202259 0.012724 -0.011415 0.201923
		0.008059 0.006915 0.202233 0.013194 -0.011849 0.201882
		0.008167 0.006911 0.202220 0.013660 -0.012287 0.201841
		0.008375 0.006894 0.202214 0.014121 -0.012730 0.201801
		0.008590 0.006873 0.202205 0.014578 -0.013178 0.201760
		0.008740 0.006853 0.202185 0.015032 -0.013632 0.201720
		0.008985 0.006812 0.202175 0.015482 -0.014091 0.201679
		0.009174 0.006776 0.202161 0.015929 -0.014556 0.201639
		0.009382 0.006729 0.202144 0.016373 -0.015027 0.201599
		0.009600 0.006675 0.202131 0.016814 -0.015504 0.201560
		0.009794 0.006620 0.202113 0.017252 -0.015987 0.201520
		0.010039 0.006542 0.202098 0.017688 -0.016477 0.201481
		0.010250 0.006470 0.202081 0.018121 -0.016973 0.201443
		0.010501 0.006375 0.202063 0.018552 -0.017476 0.201404
		0.010727 0.006282 0.202046 0.018980 -0.017985 0.201366
		0.010989 0.006166 0.202026 0.019406 -0.018501 0.201329
		0.011232 0.006050 0.202007 0.019829 -0.019024 0.201291
		0.011506 0.005911 0.201986 0.020250 -0.019554 0.201254
		0.011771 0.005766 0.201965 0.020669 -0.020090 0.201217
		0.012054 0.005602 0.201942 0.021086 -0.020634 0.201181
		0.012348 0.005420 0.201918 0.021500 -0.021184 0.201145
		0.012642 0.005227 0.201894 0.021912 -0.021741 0.201109
		0.012954 0.005012 0.201867 0.022322 -0.022304 0.201073
		0.013279 0.004774 0.201839 0.022730 -0.022875 0.201037
		0.013612 0.004517 0.201811 0.023135 -0.023452 0.201001
		0.013955 0.004238 0.201780 0.023538 -0.024036 0.200966
		0.014310 0.003935 0.201747 0.023939 -0.024626 0.200930
		0.014678 0.003604 0.201713 0.024337 -0.025223 0.200894
		0.015058 0.003246 0.201676 0.024734 -0.025827 0.200859
		0.015452 0.002858 0.201638 0.025127 -0.026437 0.200823
		0.015859 0.002437 0.201598 0.025519 -0.027054 0.200788
		0.016279 0.001983 0.201555 0.025908 -0.027677 0.200752
		0.016709 0.001498 0.201510 0.026295 -0.028306 0.200717
		0.017150 0.000977 0.201463 0.026679 -0.028941 0.200681
		0.017606 0.000416 0.201413 0.027061 -0.029582 0.200645
		0.018070 -0.000179 0.201362 0.027440 -0.030229 0.200610
		0.018546 -0.000814 0.201308 0.027817 -0.030882 0.200574
		0.019031 -0.001489 0.201252 0.028192 -0.031540 0.200538
		0.019524 -0.002202 0.201194 0.028563 -0.032205 0.200502
		0.020025 -0.002955 0.201135 0.028933 -0.032874 0.200467
		0.020532 -0.003746 0.201073 0.029299 -0.033549 0.200431
		0.021045 -0.004576 0.201011 0.029663 -0.034230 0.200395
		0.021562 -0.005445 0.200947 0.030024 -0.034915 0.200360
		0.022083 -0.006351 0.200882 0.030383 -0.035606 0.200324
		0.022606 -0.007294 0.200816 0.030739 -0.036301 0.200288
		0.023131 -0.008272 0.200750 0.031092 -0.037001 0.200253
		0.023656 -0.009287 0.200684 0.031442 -0.037706 0.200217
		0.024182 -0.010337 0.200617 0.031790 -0.038416 0.200182
		0.024708 -0.011421 0.200550 0.032135 -0.039130 0.200147
		0.025233 -0.012540 0.200483 0.032476 -0.039848 0.200112
		0.025759 -0.013696 0.200416 0.032815 -0.040570 0.200077
		0.026285 -0.014889 0.200350 0.033151 -0.041297 0.200042
		0.026813 -0.016121 0.200284 0.033485 -0.042027 0.200007
		0.027343 -0.017395 0.200217 0.033815 -0.042761 0.199973
		0.027877 -0.018715 0.200151 0.034142 -0.043498 0.199938
		0.028418 -0.020086 0.200085 0.034466 -0.044240 0.199904
		0.028967 -0.021511 0.200018 0.034787 -0.044984 0.199870
		0.029527 -0.022998 0.199950 0.035105 -0.045732 0.199836
		0.030101 -0.024548 0.199880 0.035420 -0.046483 0.199803
		0.030690 -0.026166 0.199809 0.035732 -0.047237 0.199769
		0.031296 -0.027851 0.199736 0.036041 -0.047995 0.199736
		0.031917 -0.029596 0.199660 0.036347 -0.048755 0.199703
		0.032553 -0.031393 0.199583 0.036649 -0.049519 0.199670
		0.033200 -0.033228 0.199505 0.036949 -0.050285 0.199638
		0.033854 -0.035089 0.199426 0.037246 -0.051056 0.199606
		0.034514 -0.036967 0.199347 0.037541 -0.051832 0.199574
		0.035176 -0.038854 0.199267 0.037835 -0.052614 0.199542
		0.035840 -0.040746 0.199188 0.038129 -0.053409 0.199511
		0.036504 -0.042639 0.199109 0.038430 -0.054231 0.199480
		0.037168 -0.044533 0.199031 0.038729 -0.055056 0.199449
		0.037833 -0.046427 0.198953 0.038906 -0.055549 0.199419
		0.038497 -0.048321 0.198877 0.038992 -0.055779 0.199389
		0.039162 -0.050216 0.198801 0.039029 -0.055874 0.199360
		0.039827 -0.052110 0.198725 0.039044 -0.055911 0.199330
		0.040491 -0.054004 0.198659 0.039058 -0.055945 0.199302
		0.040677 -0.054524 0.198643 0.039069 -0.055971 0.199273
		0.040819 -0.054903 0.198638 0.039082 -0.055997 0.199246
		0.040873 -0.055061 0.198636 0.039095 -0.056021 0.199219
		0.040908 -0.055174 0.198634 0.039108 -0.056044 0.199193
		0.040925 -0.055234 0.198634 0.039122 -0.056068 0.199168
		0.040938 -0.055279 0.198633 0.039137 -0.056091 0.199151
		0.040947 -0.055315 0.198633 0.039152 -0.056113 0.199132
		0.040955 -0.055350 0.198632 0.039168 -0.056136 0.199124
		0.040960 -0.055381 0.198632 0.039184 -0.056158 0.199122
		0.040965 -0.055413 0.198631 0.039201 -0.056179 0.199120
		0.040968 -0.055444 0.198631 0.039219 -0.056200 0.199118
		0.040971 -0.055476 0.198631 0.039237 -0.056220 0.199116
		0.040973 -0.055507 0.198631 0.039256 -0.056240 0.199114
		0.040973 -0.055538 0.198631 0.039275 -0.056259 0.199112
		0.040973 -0.055570 0.198631 0.039295 -0.056278 0.199109
		0.040972 -0.055601 0.198631 0.039316 -0.056297 0.199107
		0.040970 -0.055632 0.198632 0.039336 -0.056314 0.199104
		0.040966 -0.055663 0.198632 0.039358 -0.056331 0.199102
		0.040962 -0.055694 0.198633 0.039379 -0.056348 0.199099
		0.040957 -0.055726 0.198633 0.039402 -0.056364 0.199096
		0.040950 -0.055756 0.198634 0.039424 -0.056379 0.199093
		0.040943 -0.055787 0.198635 0.039447 -0.056394 0.199090
		0.040935 -0.055817 0.198636 0.039471 -0.056408 0.199087
		0.040926 -0.055848 0.198637 0.039495 -0.056421 0.199084
		0.040916 -0.055877 0.198638 0.039519 -0.056434 0.199081
		0.040905 -0.055907 0.198639 0.039544 -0.056446 0.199078
		0.040893 -0.055936 0.198640 0.039568 -0.056458 0.199075
		0.040880 -0.055965 0.198642 0.039594 -0.056468 0.199071
		0.040867 -0.055993 0.198643 0.039619 -0.056479 0.199068
		0.040852 -0.056021 0.198645 0.039645 -0.056488 0.199064
		0.040837 -0.056048 0.198647 0.039671 -0.056497 0.199061
		0.040820 -0.056075 0.198648 0.039698 -0.056505 0.199057
		0.040803 -0.056102 0.198650 0.039724 -0.056512 0.199054
		0.040785 -0.056127 0.198652 0.039750 -0.056518 0.199050
		0.040766 -0.056153 0.198654 0.039777 -0.056524 0.199047
		0.040747 -0.056177 0.198656 0.039803 -0.056529 0.199043
		0.040726 -0.056201 0.198658 0.039830 -0.056533 0.199039
		0.040705 -0.056225 0.198661 0.039856 -0.056537 0.199036
		0.040684 -0.056247 0.198663 0.039883 -0.056539 0.199032
		0.040661 -0.056269 0.198665 0.039911 -0.056541 0.199028
		0.040638 -0.056291 0.198668 0.039939 -0.056543 0.199024
		0.040614 -0.056311 0.198670 0.039967 -0.056543 0.199020
		0.040590 -0.056331 0.198673 0.039996 -0.056543 0.199016
		0.040565 -0.056350 0.198675 0.040023 -0.056542 0.199013
		0.040539 -0.056368 0.198678 0.040050 -0.056540 0.199009
		0.040513 -0.056386 0.198681 0.040077 -0.056538 0.199006
		0.040486 -0.056402 0.198684 0.040104 -0.056535 0.199002
		0.040459 -0.056418 0.198686 0.040130 -0.056531 0.198998
		0.040427 -0.056435 0.198690 0.040159 -0.056526 0.198995
		0.040389 -0.056453 0.198694 0.040195 -0.056519 0.198991
		0.040344 -0.056472 0.198699 0.040235 -0.056509 0.198986
		0.040286 -0.056493 0.198705 0.040286 -0.056493 0.198980
	section 2
		xss rth_ss r xps rth_ps r
		0.000372 -0.000776 0.205111 0.000372 -0.000776 0.205111
		0.000378 -0.000704 0.205111 0.000372 -0.000780 0.205111
		0.000390 -0.000589 0.205111 0.000375 -0.000835 0.205111
		0.000410 -0.000446 0.205111 0.000380 -0.000883 0.205111
		0.000432 -0.000315 0.205111 0.000386 -0.000934 0.205111
		0.000448 -0.000230 0.205111 0.000395 -0.000994 0.205111
		0.000466 -0.000154 0.205111 0.000409 -0.001069 0.205111
		0.000491 -0.000060 0.205111 0.000422 -0.001133 0.205111
		0.000555 0.000149 0.205111 0.000431 -0.001176 0.205111
		0.000622 0.000351 0.205111 0.000439 -0.001208 0.205111
		0.000699 0.000561 0.205111 0.000447 -0.001238 0.205111
		0.000796 0.000806 0.205111 0.000456 -0.001268 0.205111
		0.000904 0.001054 0.205111 0.000467 -0.001299 0.205111
		0.001025 0.001316 0.205111 0.000481 -0.001335 0.205111
		0.001163 0.001592 0.205111 0.000498 -0.001377 0.205111
		0.001305 0.001859 0.205110 0.000526 -0.001437 0.205111
		0.001463 0.002137 0.205110 0.000571 -0.001528 0.205111
		0.001625 0.002405 0.205110 0.000606 -0.001597 0.205111
		0.001795 0.002670 0.205110 0.000635 -0.001649 0.205111
		0.001970 0.002928 0.205109 0.000666 -0.001702 0.205111
		0.002149 0.003176 0.205109 0.000707 -0.001767 0.205111
		0.002330 0.003414 0.205108 0.000766 -0.001855 0.205111
		0.002513 0.003642 0.205107 0.000829 -0.001944 0.205111
		0.002698 0.003859 0.205106 0.000883 -0.002018 0.205111
		0.002882 0.004064 0.205104 0.000949 -0.002100 0.205111
		0.003069 0.004260 0.205103 0.001040 -0.002210 0.205111
		0.003251 0.004442 0.205101 0.001131 -0.002314 0.205111
		0.003438 0.004617 0.205099 0.001228 -0.002420 0.205111
		0.003618 0.004778 0.205097 0.001359 -0.002555 0.205111
		0.003803 0.004933 0.205094 0.001487 -0.002682 0.205111
		0.003982 0.005077 0.205092 0.001655 -0.002839 0.205111
		0.004160 0.005210 0.205089 0.001829 -0.002997 0.205111
		0.004343 0.005339 0.205085 0.002048 -0.003185 0.205111
		0.004513 0.005452 0.205081 0.002299 -0.003394 0.205110
		0.004698 0.005568 0.205077 0.002589 -0.003625 0.205109
		0.004867 0.005667 0.205073 0.002932 -0.003889 0.205107
		0.005041 0.005762 0.205068 0.003337 -0.004191 0.205102
		0.005221 0.005855 0.205063 0.003811 -0.004536 0.205094
		0.005382 0.005931 0.205057 0.004382 -0.004943 0.205083
		0.005565 0.006012 0.205052 0.005056 -0.005418 0.205070
		0.005738 0.006082 0.205047 0.005797 -0.005938 0.205053
		0.005894 0.006140 0.205040 0.006471 -0.006413 0.205034
		0.006086 0.006205 0.205034 0.007095 -0.006858 0.205012
		0.006250 0.006256 0.205029 0.007687 -0.007284 0.204988
		0.006410 0.006300 0.205021 0.008253 -0.007698 0.204964
		0.006614 0.006350 0.205015 0.008799 -0.008104 0.204937
		0.006764 0.006383 0.205009 0.009330 -0.008507 0.204910
		0.006924 0.006412 0.204999 0.009849 -0.008906 0.204881
		0.007142 0.006446 0.204994 0.010357 -0.009305 0.204852
		0.007275 0.006463 0.204990 0.010855 -0.009704 0.204822
		0.007409 0.006476 0.204977 0.011346 -0.010104 0.204793
		0.007674 0.006492 0.204970 0.011829 -0.010506 0.204762
		0.007844 0.006499 0.204967 0.012306 -0.010911 0.204732
		0.007992 0.006500 0.204963 0.012777 -0.011319 0.204701
		0.008196 0.006495 0.204942 0.013243 -0.011731 0.204671
		0.008459 0.006482 0.204934 0.013704 -0.012147 0.204641
		0.008581 0.006473 0.204932 0.014161 -0.012567 0.204611
		0.008744 0.006455 0.204927 0.014614 -0.012991 0.204582
		0.009010 0.006417 0.204913 0.015063 -0.013421 0.204554
