        X           R*THETA          R
     5.1688781     4.5027080     6.9597154
     5.1780186     4.6038442     7.0466094
     5.1864786     4.7040215     7.1319294
     5.1943259     4.8031764     7.2157359
     5.2015700     4.9009337     7.2977118
     5.2082496     4.9970055     7.3776512
     5.2144084     5.0912638     7.4555349
     5.2200804     5.1835208     7.5313053
     5.2252975     5.2735929     7.6048808
     5.2300887     5.3613296     7.6761885
     5.2344837     5.4466124     7.7451682
     5.2384973     5.5293202     7.8117552
     5.2421632     5.6093588     7.8758831
     5.2454891     5.6866055     7.9374876
     5.2484999     5.7609410     7.9965105
     5.2512126     5.8322387     8.0528927
     5.2536411     5.9002905     8.1065722
     5.2557960     5.9655790     8.1572933
     5.2576752     6.0285988     8.2045164
     5.2592845     6.0891910     8.2481241
     5.2606606     6.1470127     8.2881393
     5.2618103     6.2017570     8.3245440
     5.2627697     6.2531877     8.3573122
     5.2635574     6.3010645     8.3864431
     5.2641945     6.3451543     8.4118986
     5.2647014     6.3851485     8.4336004
     5.2650933     6.4208207     8.4516211
     5.2653813     6.4520607     8.4661503
     5.2655883     6.4783802     8.4770355
     5.2657261     6.4992895     8.4842806
     5.2657948     6.5149374     8.4886532
     5.2658343     6.5258331     8.4911528
     5.2658544     6.5322771     8.4924212
     5.2658601     6.5344100     8.4928074
