        X           R*THETA          R
     5.0821128     8.2679300     8.4922686
     5.0820584     8.2684383     8.4909401
     5.0818825     8.2691555     8.4866476
     5.0815430     8.2674589     8.4783716
     5.0809636     8.2597256     8.4646339
     5.0801115     8.2434320     8.4447079
     5.0789986     8.2187157     8.4195137
     5.0776110     8.1854410     8.3893909
     5.0759368     8.1436443     8.3546581
     5.0739574     8.0938015     8.3156319
     5.0716558     8.0362854     8.2723274
     5.0690112     7.9712472     8.2249489
     5.0660267     7.8988371     8.1737280
     5.0626774     7.8191457     8.1188765
     5.0589504     7.7322187     8.0606661
     5.0548162     7.6385641     7.9991422
     5.0501914     7.5394087     7.9337864
     5.0450301     7.4350753     7.8645887
     5.0392838     7.3257966     7.7915888
     5.0328941     7.2117548     7.7148690
     5.0257874     7.0931101     7.6345353
     5.0179057     6.9700351     7.5506902
     5.0091605     6.8427224     7.4634337
     4.9994516     6.7114587     7.3728261
     4.9886684     6.5765624     7.2789183
     4.9766946     6.4383593     7.1817694
     4.9633856     6.2971568     7.0814633
     4.9485965     6.1532793     6.9781032
     4.9321585     6.0070767     6.8717937
     4.9138908     5.8589201     6.7626386
     4.8935843     5.7092090     6.6507668
     4.8710284     5.5583396     6.5362988
     4.8459873     5.4067230     6.4194016
     4.8182158     5.2547498     6.3002439
     4.7874470     5.1028237     6.1790462
     4.7534275     4.9513316     6.0560489
     4.7158990     4.8006458     5.9315643
     4.6746178     4.6511245     5.8059359
     4.6293573     4.5031581     5.6795568
     4.5799184     4.3571234     5.5528107
     4.5260901     4.2133365     5.4259996
     4.4676733     4.0720396     5.2994008
     4.4045033     3.9335182     5.1733932
     4.3364820     3.7980356     5.0483751
     4.2636070     3.6657965     4.9247870
     4.1859207     3.5369573     4.8030691
     4.1035194     3.4116073     4.6835999
     4.0165591     3.2898004     4.5667100
     3.9252341     3.1715796     4.4527144
     3.8298101     3.0569675     4.3418865
     3.7306035     2.9459343     4.2344618
     3.6279721     2.8384144     4.1306477
     3.5223007     2.7343369     4.0305939
     3.4139819     2.6335547     3.9344032
     3.3034050     2.5356631     3.8421376
     3.1909781     2.4404824     3.7538223
     3.0770874     2.3478625     3.6694498
     2.9620848     2.2576561     3.5889702
     2.8463163     2.1697316     3.5123253
     2.7301283     2.0839882     3.4394479
     2.6138453     2.0003080     3.3702588
     2.4977818     1.9185051     3.3046715
     2.3822403     1.8384204     3.2425988
     2.2674813     1.7599803     3.1839356
     2.1537387     1.6831399     3.1285686
     2.0412438     1.6078341     3.0763912
     1.9302160     1.5340070     3.0273004
     1.8208628     1.4616143     2.9811919
     1.7133775     1.3906240     2.9379644
     1.6079472     1.3210131     2.8975182
     1.5047523     1.2527674     2.8597541
     1.4039577     1.1858904     2.8245726
     1.3057256     1.1204013     2.7918770
     1.2102051     1.0563220     2.7615681
     1.1175382     0.9936832     2.7335451
     1.0278583     0.9325159     2.7077100
     0.9412909     0.8728498     2.6839607
     0.8579472     0.8147444     2.6621933
     0.7779182     0.7582863     2.6423016
     0.7013028     0.7035378     2.6241837
     0.6281893     0.6505428     2.6077342
     0.5586804     0.5992732     2.5928581
     0.4928871     0.5496531     2.5794587
     0.4308473     0.5017878     2.5674319
     0.3725539     0.4558720     2.5566678
     0.3182225     0.4119638     2.5441830
     0.2677609     0.3700806     2.5319407
     0.2212387     0.3301193     2.5210218
     0.1786988     0.2921215     2.5113449
     0.1400605     0.2563117     2.5028095
     0.1052194     0.2229158     2.4953189
     0.0746677     0.1913597     2.4889114
     0.0488664     0.1613081     2.4836168
     0.0277981     0.1331178     2.4793727
     0.0116249     0.1070396     2.4761624
     0.0007938     0.0834120     2.4740355
    -0.0031907     0.0623802     2.4732585
     0.0002996     0.0471504     2.4739392
     0.0069480     0.0388850     2.4752419
     0.0123638     0.0352657     2.4763083
     0.0144929     0.0343993     2.4767289
     0.0167780     0.0338466     2.4771807
     0.0237295     0.0335843     2.4785612
     0.0349233     0.0352888     2.4807997
     0.0498038     0.0399259     2.4838073
     0.0680164     0.0479755     2.4875364
     0.0895328     0.0595812     2.4920106
     0.1144101     0.0747837     2.4972758
     0.1424917     0.0937476     2.5033393
     0.1735429     0.1166643     2.5101924
     0.2078105     0.1428740     2.5179353
     0.2457506     0.1714783     2.5267310
     0.2869869     0.2030559     2.5365560
     0.3317027     0.2372116     2.5475233
     0.3801450     0.2736098     2.5580401
     0.4323199     0.3122739     2.5677104
     0.4881065     0.3531565     2.5785112
     0.5475475     0.3960955     2.5905433
     0.6106351     0.4409926     2.6039076
     0.6773404     0.4877702     2.6187010
     0.7476015     0.5363699     2.6350243
