        X           R*THETA          R
     4.8323193     6.3250022     8.4962244
     4.8322697     6.3255143     8.4955406
     4.8320980     6.3265772     8.4931784
     4.8317242     6.3261471     8.4880857
     4.8310909     6.3224425     8.4795561
     4.8302007     6.3148079     8.4675779
     4.8290405     6.3027053     8.4522362
     4.8276424     6.2861724     8.4339676
     4.8260126     6.2651172     8.4129677
     4.8241591     6.2394605     8.3894320
     4.8220987     6.2092500     8.3636293
     4.8198218     6.1753154     8.3355236
     4.8173046     6.1377363     8.3049650
     4.8145475     6.0963092     8.2720547
     4.8115315     6.0512400     8.2368650
     4.8082476     6.0025120     8.1994619
     4.8046823     5.9501181     8.1599407
     4.8008265     5.8941455     8.1184187
     4.7966595     5.8348708     8.0749226
     4.7921462     5.7725859     8.0293522
     4.7872653     5.7074709     7.9817371
     4.7819824     5.6395979     7.9321184
     4.7762632     5.5690866     7.8805342
     4.7700758     5.4961190     7.8270259
     4.7633820     5.4208322     7.7716241
     4.7561336     5.3433313     7.7143703
     4.7482829     5.2637463     7.6552949
     4.7397823     5.1822443     7.5944409
     4.7305684     5.0989962     7.5318475
     4.7205887     5.0141883     7.4675579
     4.7097840     4.9280133     7.4016137
     4.6980696     4.8406887     7.3340764
     4.6853886     4.7524366     7.2649899
     4.6716647     4.6634378     7.1944208
     4.6568131     4.5738482     7.1224380
     4.6407576     4.4838500     7.0491247
     4.6234183     4.3936515     6.9745765
     4.6047235     4.3035021     6.8989015
     4.5845966     4.2136588     6.8222332
     4.5629663     4.1243358     6.7447176
     4.5397658     4.0356913     6.6664953
     4.5149269     3.9478350     6.5876794
     4.4883685     3.8608677     6.5083675
     4.4600186     3.7750373     6.4286747
     4.4298220     3.6905594     6.3487444
     4.3977513     3.6073825     6.2687607
     4.3637853     3.5254416     6.1889319
     4.3279209     3.4449530     6.1094408
     4.2901692     3.3661804     6.0304470
     4.2505617     3.2891371     5.9521022
     4.2091212     3.2137642     5.8745747
     4.1658897     3.1400845     5.7980080
     4.1209207     3.0681562     5.7225485
     4.0742784     2.9979947     5.6483340
     4.0260439     2.9295962     5.5754943
     3.9763191     2.8629551     5.5041609
     3.9252164     2.7980638     5.4344587
     3.8728650     2.7348936     5.3664980
     3.8194089     2.6734152     5.3003726
     3.7649915     2.6135871     5.2361584
     3.7097557     2.5553694     5.1739197
     3.6538622     2.4987242     5.1137161
     3.5974867     2.4436183     5.0555916
     3.5407960     2.3900187     4.9995780
     3.4839444     2.3378882     4.9456892
     3.4270916     2.2871926     4.8939276
     3.3703980     2.2378194     4.8442841
     3.3140209     2.1896508     4.7967486
     3.2581089     2.1426363     4.7512984
     3.2028055     2.0967560     4.7079043
     3.1482472     2.0520074     4.6665316
     3.0945578     2.0083802     4.6271443
     3.0418630     1.9658458     4.5896907
     2.9902735     1.9243948     4.5541277
     2.9398961     1.8840475     4.5204029
     2.8908231     1.8448508     4.4884686
     2.8431435     1.8068811     4.4582691
     2.7969413     1.7702047     4.4297523
     2.7522929     1.7348644     4.4028735
     2.7092798     1.7008829     4.3775797
     2.6679688     1.6682569     4.3538289
     2.6284001     1.6370015     4.3315611
     2.5906093     1.6071407     4.3107204
     2.5546412     1.5786880     4.2912631
     2.5205426     1.5516391     4.2731452
     2.4883800     1.5259714     4.2563496
     2.4582269     1.5016528     4.2408500
     2.4301493     1.4786665     4.2266293
     2.4041989     1.4570199     4.2136641
     2.3803804     1.4367740     4.2019129
     2.3586926     1.4180036     4.1913342
     2.3392525     1.4006582     4.1819506
     2.3221235     1.3846602     4.1737556
     2.3073120     1.3700721     4.1667295
