        X           R*THETA          R
     4.7047882     6.2568340     8.4979191
     4.7047272     6.2571716     8.4972582
     4.7045112     6.2574530     8.4949160
     4.7040286     6.2557487     8.4896851
     4.7032146     6.2503085     8.4809427
     4.7021070     6.2409554     8.4690733
     4.7007155     6.2273955     8.4542751
     4.6990705     6.2096429     8.4368782
     4.6971860     6.1876464     8.4170847
     4.6950779     6.1613269     8.3951092
     4.6927652     6.1306839     8.3712187
     4.6902256     6.0967526     8.3453007
     4.6874232     6.0596328     8.3171186
     4.6843548     6.0190315     8.2867622
     4.6809969     5.9751835     8.2542744
     4.6773438     5.9280596     8.2196941
     4.6733813     5.8776360     8.1830921
     4.6690936     5.8239970     8.1445608
     4.6644630     5.7672901     8.1041460
     4.6594586     5.7076969     8.0618343
     4.6540532     5.6453347     8.0176601
     4.6482072     5.5802464     7.9716601
     4.6418910     5.5125508     7.9238663
     4.6350613     5.4424424     7.8743200
     4.6276808     5.3700590     7.8230429
     4.6196990     5.2955003     7.7700725
     4.6110601     5.2188888     7.7154303
     4.6017084     5.1403952     7.6591549
     4.5915842     5.0601873     7.6012702
     4.5806279     4.9784546     7.5418139
     4.5687695     4.8953848     7.4808211
     4.5559297     4.8111968     7.4183440
     4.5420399     4.7261038     7.3544221
     4.5270233     4.6403122     7.2891169
     4.5107956     4.5540056     7.2224903
     4.4932752     4.4673977     7.1546245
     4.4743843     4.3806987     7.0856090
     4.4540510     4.2941408     7.0155501
     4.4322009     4.2079558     6.9445758
     4.4087663     4.1223598     6.8728223
     4.3836832     4.0375271     6.8004227
     4.3568926     3.9536052     6.7274942
     4.3283215     3.8707221     6.6541438
     4.2979155     3.7890537     6.5805044
     4.2656403     3.7087622     6.5067387
     4.2314830     3.6299005     6.4330235
     4.1954436     3.5525095     6.3595400
     4.1575265     3.4767187     6.2864757
     4.1177864     3.4026370     6.2139602
     4.0762482     3.3303056     6.1421680
     4.0329800     3.2597122     6.0712385
     3.9880362     3.1908698     6.0013237
     3.9414883     3.1238012     5.9325676
     3.8934216     3.0584955     5.8651037
     3.8439417     2.9949272     5.7990503
     3.7931647     2.9330673     5.7345257
     3.7412195     2.8728824     5.6716352
     3.6882429     2.8143239     5.6104708
     3.6343837     2.7573454     5.5511127
     3.5797944     2.7018933     5.4936280
     3.5246322     2.6479127     5.4380698
     3.4690619     2.5953515     5.3844795
     3.4132493     2.5441849     5.3328900
     3.3573573     2.4943547     5.2833161
     3.3015375     2.4457135     5.2357554
     3.2459440     2.3981042     5.1901989
     3.1907263     2.3513851     5.1466298
     3.1360309     2.3055258     5.1050267
     3.0819888     2.2605658     5.0653644
     3.0287347     2.2165217     5.0275936
     2.9763825     2.1734185     4.9916835
     2.9250457     2.1312613     4.9575801
     2.8748279     2.0900538     4.9252334
     2.8258238     2.0497859     4.8945951
     2.7781191     2.0104523     4.8656111
     2.7317910     1.9720775     4.8382244
     2.6869054     1.9347054     4.8123837
     2.6435311     1.8984071     4.7880301
     2.6017237     1.8632710     4.7651224
     2.5615492     1.8293629     4.7436070
     2.5230601     1.7967367     4.7234402
     2.4862752     1.7654686     4.7045631
     2.4512112     1.7356107     4.6869226
     2.4178984     1.7071774     4.6704712
     2.3863678     1.6801701     4.6551700
     2.3566771     1.6545600     4.6409998
     2.3288877     1.6303123     4.6279430
     2.3030589     1.6074029     4.6159782
     2.2792327     1.5858374     4.6050868
     2.2574098     1.5656734     4.5952301
     2.2375703     1.5469909     4.5863695
     2.2197437     1.5298179     4.5784893
     2.2039411     1.5141690     4.5715637
     2.1901193     1.5001380     4.5655537
     2.1783788     1.4877214     4.5604820
     2.1692705     1.4765576     4.5565701
     2.1631529     1.4667172     4.5539541
     2.1600089     1.4586282     4.5526114
     2.1594191     1.4526060     4.5523596
     2.1605310     1.4491037     4.5528345
     2.1612592     1.4481131     4.5531454
     2.1621826     1.4472898     4.5535393
     2.1656156     1.4457864     4.5550056
     2.1718307     1.4456267     4.5576687
     2.1803071     1.4475387     4.5613136
     2.1906714     1.4518677     4.5657926
     2.2026560     1.4588135     4.5710034
     2.2162716     1.4681244     4.5769610
     2.2318492     1.4792271     4.5838346
     2.2494211     1.4920285     4.5916529
     2.2689118     1.5065639     4.6004114
     2.2902925     1.5227838     4.6101255
     2.3135288     1.5406178     4.6208086
     2.3385701     1.5600801     4.6324701
     2.3653846     1.5811653     4.6451316
     2.3939686     1.6038201     4.6588349
     2.4243288     1.6279776     4.6736221
     2.4564757     1.6535649     4.6895485
     2.4904084     1.6805292     4.7066669
     2.5260973     1.7088525     4.7250156
     2.5635004     1.7385398     4.7446389
     2.6025572     1.7696003     4.7655735
     2.6432071     1.8020091     4.7878513
     2.6854053     1.8357056     4.8115306
     2.7291083     1.8705927     4.8366632
     2.7742591     1.9065731     4.8632998
     2.8207903     1.9435793     4.8914957
     2.8686252     1.9815762     4.9213047
     2.9176822     2.0205483     4.9527740
     2.9678736     2.0605054     4.9859548
     3.0191052     2.1014609     5.0208998
     3.0712709     2.1434131     5.0576601
     3.1242630     2.1863544     5.0962715
     3.1779561     2.2302747     5.1367826
     3.2322268     2.2751491     5.1792183
     3.2869360     2.3209505     5.2236190
     3.3419428     2.3677084     5.2699957
     3.3971016     2.4155700     5.3183632
     3.4522603     2.4646971     5.3687253
     3.5072684     2.5152440     5.4210792
     3.5619650     2.5672731     5.4754038
     3.6161854     2.6208053     5.5316596
     3.6697760     2.6758962     5.5898066
     3.7225833     2.7325983     5.6497860
     3.7744594     2.7909620     5.7115250
     3.8252637     2.8510356     5.7749405
     3.8748608     2.9128652     5.8399372
     3.9231317     2.9764788     5.9064026
     3.9699683     3.0419033     5.9742222
     4.0152831     3.1091609     6.0432749
