        X           R*THETA          R
     5.1436977     6.4931531     8.4920845
     5.1436734     6.4940104     8.4913473
     5.1435928     6.4961786     8.4889345
     5.1434336     6.4983702     8.4841805
     5.1431646     6.4987254     8.4761724
     5.1427364     6.4951763     8.4639301
     5.1421480     6.4865704     8.4472609
     5.1414018     6.4729719     8.4268637
     5.1404901     6.4541936     8.4029179
     5.1394043     6.4301777     8.3755665
     5.1381359     6.4010601     8.3450823
     5.1366630     6.3671503     8.3116207
     5.1349821     6.3285208     8.2752361
     5.1330857     6.2851634     8.2360697
     5.1309628     6.2371888     8.1942644
     5.1286135     6.1846423     8.1499462
     5.1260304     6.1275215     8.1032810
     5.1232061     6.0658979     8.0544424
     5.1201215     6.0003018     8.0034180
     5.1167374     5.9314551     7.9498901
     5.1130342     5.8596096     7.8938870
     5.1089935     5.7848830     7.8354588
     5.1045828     5.7074018     7.7746582
     5.0997891     5.6273208     7.7115312
     5.0945730     5.5447578     7.6461320
     5.0889044     5.4598408     7.5785098
     5.0827522     5.3727040     7.5087190
     5.0760765     5.2835002     7.4368234
     5.0688376     5.1924076     7.3628817
     5.0609856     5.0996194     7.2869611
     5.0524726     5.0053043     7.2091265
     5.0432487     4.9096808     7.1294365
     5.0332518     4.8130035     7.0479655
     5.0224166     4.7153974     6.9647846
     5.0106812     4.6169481     6.8799658
     4.9979739     4.5178003     6.7935953
     4.9842234     4.4181523     6.7057710
     4.9693480     4.3183069     6.6166129
     4.9532790     4.2186017     6.5262570
     4.9359465     4.1192493     6.4348569
     4.9172778     4.0204110     6.3425703
     4.8971767     3.9221075     6.2494979
     4.8755589     3.8244050     6.1557007
     4.8523207     3.7277246     6.0612354
     4.8273621     3.6324146     5.9661860
     4.8006077     3.5381997     5.8707638
     4.7720261     3.4448056     5.7751951
     4.7415500     3.3526864     5.6796918
     4.7091446     3.2624099     5.5844193
     4.6747742     3.1739993     5.4895549
     4.6384120     3.0873022     5.3952646
     4.6000414     3.0023773     5.3017030
     4.5596590     2.9193845     5.2090216
     4.5172758     2.8384154     5.1173697
     4.4729218     2.7595167     5.0268888
     4.4266381     2.6827350     4.9377656
     4.3785186     2.6080890     4.8501420
     4.3286471     2.5356154     4.7641950
     4.2771463     2.4653194     4.6800623
     4.2241282     2.3971784     4.5978451
     4.1697059     2.3311539     4.5176234
     4.1140275     2.2672298     4.4394965
     4.0572672     2.2054086     4.3635693
     3.9995968     2.1456752     4.2899170
     3.9411817     2.0879931     4.2185826
     3.8821912     2.0323229     4.1495996
     3.8228016     1.9786195     4.0829935
     3.7631922     1.9268411     4.0187855
     3.7035406     1.8769397     3.9569826
     3.6440239     1.8288625     3.8975859
     3.5848145     1.7825626     3.8405874
     3.5260768     1.7380033     3.7859704
     3.4679732     1.6951489     3.7337136
     3.4106598     1.6539637     3.6837854
     3.3542864     1.6144099     3.6361544
     3.2989924     1.5764525     3.5907919
     3.2449145     1.5400517     3.5476511
     3.1921823     1.5051719     3.5066965
     3.1409197     1.4717648     3.4678910
     3.0912449     1.4397886     3.4311960
     3.0432692     1.4092172     3.3965690
     2.9970856     1.3800530     3.3639581
     2.9527755     1.3523194     3.3333216
     2.9104280     1.3260214     3.3046134
     2.8701291     1.3011384     3.2777965
     2.8319755     1.2776129     3.2528498
     2.7960658     1.2553501     3.2297490
     2.7624917     1.2342786     3.2084787
     2.7313304     1.2143689     3.1890135
     2.7026012     1.1956818     3.1712992
     2.6763520     1.1782695     3.1553037
     2.6529205     1.1618518     3.1411757
     2.6325083     1.1460981     3.1289816
     2.6152539     1.1309818     3.1187570
     2.6014378     1.1167480     3.1106250
     2.5917251     1.1036423     3.1049347
     2.5871766     1.0924172     3.1022799
     2.5880284     1.0843614     3.1027770
     2.5911074     1.0795094     3.1045732
     2.5939095     1.0769562     3.1062136
     2.5949874     1.0761597     3.1068444
     2.5961375     1.0754024     3.1075177
     2.5998414     1.0733244     3.1096871
     2.6063907     1.0703077     3.1135345
     2.6158388     1.0668012     3.1191022
     2.6281180     1.0645162     3.1263745
     2.6431150     1.0645829     3.1353054
     2.6607423     1.0671685     3.1458764
     2.6809716     1.0721742     3.1581037
