x	r
-5.000000	5.075000
-4.938532	5.052105
-4.877183	5.029724
-4.815956	5.007859
-4.754870	4.986437
-4.693943	4.965392
-4.633182	4.944698
-4.572591	4.924329
-4.512176	4.904264
-4.451937	4.884483
-4.391877	4.864980
-4.331995	4.845738
-4.272290	4.826753
-4.212762	4.808024
-4.153409	4.789541
-4.094228	4.771304
-4.035217	4.753315
-3.976372	4.735577
-3.917694	4.718076
-3.859180	4.700811
-3.800817	4.683824
-3.742594	4.667139
-3.684545	4.650631
-3.626706	4.634160
-3.569019	4.617930
-3.511386	4.602279
-3.453826	4.587127
-3.396427	4.572131
-3.339209	4.557212
-3.282127	4.542536
-3.225153	4.528191
-3.168294	4.514143
-3.111556	4.500364
-3.054931	4.486869
-2.998414	4.473667
-2.942003	4.460761
-2.885694	4.448149
-2.829484	4.435834
-2.773371	4.423822
-2.717351	4.412115
-2.661419	4.400713
-2.605574	4.389620
-2.549812	4.378839
-2.494131	4.368372
-2.438526	4.358222
-2.382996	4.348391
-2.327537	4.338880
-2.272147	4.329694
-2.216821	4.320833
-2.161558	4.312300
-2.106354	4.304098
-2.051208	4.296228
-1.996115	4.288691
-1.941073	4.281490
-1.886081	4.274628
-1.831134	4.268106
-1.776231	4.261925
-1.721368	4.256087
-1.666543	4.250594
-1.611755	4.245445
-1.556999	4.240645
-1.502274	4.236191
-1.447577	4.232087
-1.392907	4.228333
-1.338259	4.224929
-1.283633	4.221877
-1.229026	4.219176
-1.174435	4.216828
-1.119858	4.214832
-1.065293	4.213189
-1.010738	4.211899
-0.956190	4.210962
-0.901646	4.210378
-0.847106	4.210146
-0.792565	4.210268
-0.738023	4.210741
-0.683476	4.211566
-0.628924	4.212745
-0.574360	4.214274
-0.519784	4.216156
-0.465195	4.218389
-0.410591	4.220973
-0.355968	4.223909
-0.301325	4.227197
-0.246659	4.230835
-0.191969	4.234826
-0.137251	4.239169
-0.082503	4.243866
-0.027724	4.248917
0.031533	4.254777
0.095278	4.261539
0.159077	4.268786
0.222932	4.276519
0.286847	4.284742
0.350825	4.293459
0.414870	4.302675
0.478984	4.312394
0.543171	4.322622
0.607434	4.333368
0.671776	4.344636
0.736198	4.356436
0.800705	4.368775
0.865297	4.381666
0.929978	4.395116
0.994748	4.409139
1.059610	4.423747
1.124565	4.438952
1.189614	4.454771
1.254758	4.471217
1.319996	4.488309
1.385329	4.506064
1.450756	4.524501
1.516276	4.543641
1.581887	4.563504
1.647586	4.584116
1.713370	4.605499
1.779236	4.627680
1.845178	4.650686
1.911192	4.674546
1.977270	4.699293
2.043404	4.724957
2.109586	4.751572
2.175803	4.779174
2.242046	4.807802
2.308299	4.837496
2.374548	4.868295
2.440776	4.900245
2.506962	4.933389
2.573085	4.967774
2.639121	5.003449
2.705043	5.040467
2.770821	5.078877
2.836423	5.118735
2.901812	5.160096
2.966951	5.203017
3.031794	5.247553
3.096297	5.293766
3.160408	5.341711
3.224074	5.391451
3.287237	5.443042
3.349833	5.496545
3.411798	5.552015
3.473063	5.609509
3.533553	5.669078
3.593192	5.730775
3.651901	5.794648
3.709597	5.860740
3.766199	5.929092
3.821621	5.999740
3.875775	6.072713
3.928577	6.148036
3.979944	6.225732
4.029789	6.305812
4.078036	6.388289
4.124606	6.473161
4.169429	6.560429
4.212437	6.650084
4.253573	6.742111
4.292785	6.836497
4.330033	6.933218
4.365286	7.032250
4.398524	7.133562
4.429741	7.237128
4.458946	7.342916
4.486159	7.450891
4.511425	7.561026
4.534798	7.673286
4.556360	7.787644
4.576212	7.904075
4.594482	8.022553
4.611327	8.143059
4.626946	8.265573
4.641545	8.390085
4.655482	8.516575
4.668780	8.645060
4.682829	8.775438
4.685494	8.803890
4.691998	8.879656
4.694225	8.908031
4.697355	8.955511
4.701683	9.031433
4.705420	9.107386
4.708714	9.183360
4.711563	9.259352
4.714074	9.335355
4.716335	9.411367
4.718279	9.487387
4.719931	9.563415
4.721295	9.639448
4.722376	9.715485
4.723213	9.791526
4.723834	9.867568
4.724262	9.943612
4.724496	10.019657
4.724580	10.095702
4.724561	10.171748
4.724478	10.247793
4.724346	10.323838
4.724151	10.399883
4.724015	10.475928
4.723989	10.551973
4.724142	10.628018
4.724625	10.704062
4.725461	10.780102
4.726450	10.856141
4.727319	10.932181
4.728013	11.008223
4.728911	11.084263
4.730604	11.160289
4.733644	11.236272
4.738477	11.312161
4.745367	11.387891
4.754385	11.463397
4.765884	11.538563
4.780701	11.613142
4.800087	11.686658
4.825348	11.758358
4.857393	11.827286
4.896505	11.892458
4.942518	11.952954
4.995067	12.007864
5.053551	12.056405
5.117057	12.098171
5.184457	12.133327
5.254595	12.162664
5.326590	12.187114
5.399878	12.207369
5.474076	12.224003
5.548833	12.237924
5.623903	12.250056
5.699186	12.260789
5.774672	12.269980
5.850350	12.277430
5.926173	12.283228
6.002093	12.287570
6.078074	12.290683
6.154084	12.292989
6.230110	12.294663
6.306149	12.295657
6.382192	12.296166
6.458235	12.296694
6.534277	12.297490
6.610317	12.298292
6.686359	12.299037
6.762401	12.299728
6.838444	12.300375
6.914486	12.300972
6.990530	12.301528
7.066573	12.302029
7.142617	12.302496
7.218661	12.302920
7.294705	12.303289
7.370750	12.303631
7.446794	12.303931
7.522839	12.304185
7.598884	12.304406
7.674929	12.304592
7.750974	12.304738
7.827019	12.304857
7.903065	12.304933
7.979110	12.304983
8.055155	12.304994
8.131071	12.304994
8.206986	12.304994
8.282902	12.304994
8.358818	12.304994
8.434734	12.304994
8.510649	12.304994
8.586565	12.304994
8.662481	12.304994
8.738397	12.304994
8.814312	12.304994
8.890228	12.304994
8.966144	12.304994
9.042059	12.304994
9.117975	12.304994
9.193891	12.304994
9.269807	12.304994
9.345722	12.304994
9.421638	12.304994
9.497554	12.304994
9.573470	12.304994
9.649385	12.304994
9.725301	12.304994
9.801217	12.304994
9.877133	12.304994
9.953048	12.304994
10.028964	12.304994
10.104880	12.304994
10.180795	12.304994
10.256711	12.304994
10.332627	12.304994
10.408543	12.304994
10.484458	12.304994
10.560374	12.304994
10.636290	12.304994
10.712206	12.304994
10.788121	12.304994
10.864037	12.304994
10.939953	12.304994
11.015868	12.304994
11.091784	12.304994
11.167700	12.304994
11.243616	12.304994
11.319531	12.304994
11.395447	12.304994
11.471363	12.304994
11.547279	12.304994
11.623194	12.304994
11.699110	12.304994
