        X           R*THETA          R
     5.0201840     8.2338257     8.4925194
     5.0201163     8.2341480     8.4911251
     5.0198994     8.2342854     8.4866457
     5.0194845     8.2315760     8.4780960
     5.0187955     8.2227163     8.4642200
     5.0178003     8.2055120     8.4444551
     5.0165143     8.1800632     8.4196377
     5.0149288     8.1462498     8.3901119
     5.0130405     8.1041002     8.3562222
     5.0108314     8.0541077     8.3182354
     5.0082893     7.9967232     8.2760897
     5.0054035     7.9320998     8.2299728
     5.0021625     7.8603687     8.1801043
     4.9985452     7.7816257     8.1266708
     4.9945354     7.6959195     8.0699120
     4.9900908     7.6036911     8.0098724
     4.9851446     7.5060272     7.9461107
     4.9796386     7.4032221     7.8786268
     4.9735165     7.2954988     7.8074574
     4.9667153     7.1830401     7.7326770
     4.9591713     7.0660267     7.6543765
     4.9507923     6.9446235     7.5726542
     4.9414988     6.8190422     7.4875932
     4.9311829     6.6895738     7.3992457
     4.9197259     6.5565362     7.3076568
     4.9069848     6.4202509     7.2128863
     4.8928237     6.2810431     7.1150031
     4.8770742     6.1392426     7.0141082
     4.8595572     5.9952087     6.9103055
     4.8400846     5.8493233     6.8036995
     4.8184400     5.7019925     6.6944251
     4.7944002     5.5536218     6.5826159
     4.7677240     5.4046288     6.4684529
     4.7381659     5.2554135     6.3521204
     4.7054515     5.1063809     6.2338648
     4.6693387     4.9579201     6.1139445
     4.6295805     4.8103986     5.9926877
     4.5859289     4.6641650     5.8704638
     4.5381966     4.5195913     5.7476630
     4.4862108     4.3770294     5.6246753
     4.4297972     4.2367730     5.5018172
     4.3687654     4.0990400     5.3794098
     4.3030114     3.9640749     5.2578225
     4.2324734     3.8320994     5.1374602
     4.1571865     3.7032802     5.0187593
     4.0772357     3.5777304     4.9021392
     3.9927590     3.4554987     4.7879615
     3.9039404     3.3366075     4.6765471
     3.8110204     3.2210634     4.5681801
     3.7142930     3.1088603     4.4631133
     3.6140962     2.9999535     4.3615608
     3.5108080     2.8942697     4.2637057
     3.4048316     2.7916000     4.1696730
     3.2965748     2.6915190     4.0795441
     3.1864371     2.5939031     3.9933524
     3.0748177     2.4986219     3.9111063
     2.9621017     2.4055383     3.8327665
     2.8486240     2.3145258     3.7582631
     2.7347176     2.2254736     3.6875162
     2.6207173     2.1383107     3.6204414
     2.5069327     2.0529530     3.5569429
     2.3936546     1.9692590     3.4969182
     2.2811575     1.8871102     3.4402595
     2.1696768     1.8064613     3.3868480
     2.0594206     1.7272933     3.3365586
     1.9505923     1.6495693     3.2892747
     1.8433822     1.5732601     3.2448826
     1.7379702     1.4983469     3.2032685
     1.6345215     1.4248211     3.1643233
     1.5331956     1.3526816     3.1279426
     1.4341463     1.2819340     3.0940228
     1.3375137     1.2125971     3.0624638
     1.2434381     1.1447022     3.0331666
     1.1520493     1.0782807     3.0060334
     1.0634698     1.0133716     2.9809678
     0.9778165     0.9500129     2.9578733
