        X           R*THETA          R
     5.2049375     8.3355694     8.4917707
     5.2049074     8.3364487     8.4905710
     5.2048092     8.3383102     8.4866514
     5.2046132     8.3386211     8.4789190
     5.2042446     8.3331146     8.4654551
     5.2036762     8.3186264     8.4452085
     5.2029052     8.2953577     8.4192686
     5.2019114     8.2631397     8.3879604
     5.2006726     8.2220392     8.3515568
     5.1991658     8.1724844     8.3104677
     5.1973591     8.1146984     8.2648640
     5.1952291     8.0488300     8.2149801
     5.1927667     7.9750395     8.1610756
     5.1899638     7.8934317     8.1034060
     5.1867995     7.8040257     8.0423136
     5.1832552     7.7074542     7.9778495
     5.1792541     7.6052580     7.9093323
     5.1747561     7.4977927     7.8367405
     5.1697106     7.3853025     7.7601199
     5.1640744     7.2679710     7.6795697
     5.1577969     7.1459522     7.5952163
     5.1508126     7.0193858     7.5071936
     5.1430621     6.8884521     7.4156227
     5.1344633     6.7534404     7.3205776
     5.1249185     6.6146631     7.2221231
     5.1143317     6.4724417     7.1203318
     5.1025820     6.3270736     7.0153012
     5.0895452     6.1788626     6.9071479
     5.0750737     6.0281429     6.7959828
     5.0590043     5.8752751     6.6819067
     5.0411658     5.7206483     6.5650234
     5.0213437     5.5646453     6.4454427
     4.9993320     5.4076676     6.3232927
     4.9748917     5.2500963     6.1987085
     4.9477615     5.0923324     6.0718660
     4.9176846     4.9347658     5.9429564
     4.8843861     4.7777796     5.8122573
     4.8476014     4.6217556     5.6800766
     4.8070841     4.4671197     5.5467777
     4.7625809     4.3142953     5.4127278
     4.7138209     4.1636424     5.2781868
     4.6605411     4.0154595     5.1433849
     4.6025019     3.8701077     5.0086818
     4.5395327     3.7279265     4.8744588
     4.4715414     3.5892012     4.7411752
     4.3984995     3.4541714     4.6092963
     4.3204250     3.3230000     4.4792266
     4.2373853     3.1958134     4.3513374
     4.1495185     3.0727141     4.2259712
     4.0570202     2.9537804     4.1034470
     3.9601541     2.8390093     3.9840429
     3.8592308     2.7283518     3.8680177
     3.7545969     2.6217253     3.7555625
     3.6466112     2.5190303     3.6468220
     3.5356510     2.4201150     3.5418930
     3.4221125     2.3247986     3.4408605
     3.3063951     2.2328439     3.3437595
     3.1888685     2.1439860     3.2505901
     3.0699036     2.0580528     3.1613321
     2.9498599     1.9748915     3.0759575
     2.8290873     1.8943205     2.9944167
     2.7079389     1.8160695     2.9166656
     2.5867662     1.7399037     2.8426607
     2.4658785     1.6656930     2.7723262
     2.3455527     1.5933453     2.7055802
     2.2260714     1.5227412     2.6423469
