        X           R*THETA          R
     4.6402187     6.2219195     8.4987774
     4.6401520     6.2223372     8.4981279
     4.6399131     6.2225680     8.4957962
     4.6393695     6.2201366     8.4904957
     4.6384625     6.2138023     8.4816446
     4.6372452     6.2035713     8.4698296
     4.6357441     6.1892734     8.4553070
     4.6339841     6.1709065     8.4383516
     4.6319818     6.1484365     8.4191685
     4.6297526     6.1217780     8.3979826
     4.6273165     6.0909166     8.3750601
     4.6246505     6.0569849     8.3502483
     4.6217060     6.0201015     8.3232689
     4.6184764     5.9799166     8.2942038
     4.6149487     5.9366980     8.2630825
     4.6111112     5.8903952     8.2299309
     4.6069431     5.8409901     8.1948061
     4.6024313     5.7885418     8.1577892
     4.5975552     5.7331405     8.1189365
     4.5922861     5.6749167     8.0782785
     4.5865951     5.6139588     8.0358515
     4.5804534     5.5502920     7.9916873
     4.5738096     5.4840302     7.9458213
     4.5666399     5.4153771     7.8982873
     4.5588899     5.3444643     7.8491087
     4.5505090     5.2713952     7.7983203
     4.5414467     5.1962843     7.7459373
     4.5316458     5.1193013     7.6919923
     4.5210423     5.0406194     7.6365056
     4.5095634     4.9604182     7.5795169
     4.4971504     4.8788953     7.5210495
     4.4837198     4.7962608     7.4611535
     4.4692044     4.7127256     7.3998623
     4.4535146     4.6285014     7.3372431
     4.4365730     4.5438004     7.2733479
     4.4183011     4.4588451     7.2082558
     4.3986192     4.3738523     7.1420555
     4.3774457     4.2890487     7.0748572
     4.3547230     4.2046409     7.0067744
     4.3303766     4.1208539     6.9379458
     4.3043547     4.0378733     6.8684902
     4.2765827     3.9558709     6.7985454
     4.2470074     3.8749866     6.7282076
     4.2155828     3.7953603     6.6576190
     4.1822886     3.7171221     6.5869489
     4.1471124     3.6403859     6.5163765
     4.1100540     3.5652599     6.4460788
     4.0711579     3.4918132     6.3762102
     4.0304556     3.4200885     6.3069296
     3.9880149     3.3501248     6.2383747
     3.9438815     3.2819576     6.1707187
     3.8981366     3.2155874     6.1040931
     3.8508642     3.1510181     6.0386400
     3.8021586     3.0882285     5.9744892
     3.7521291     3.0271847     5.9117637
     3.7009046     2.9678476     5.8505673
     3.6486187     2.9101663     5.7909994
     3.5954130     2.8540866     5.7331429
     3.5414381     2.7995484     5.6770697
     3.4868512     2.7464890     5.6228418
     3.4318161     2.6948459     5.5705075
     3.3764975     2.6445816     5.5201020
     3.3210585     2.5956268     5.4716473
     3.2656555     2.5478704     5.4251580
     3.2104402     2.5011184     5.3806200
     3.1555636     2.4551702     5.3380184
     3.1011658     2.4099767     5.2973394
     3.0473909     2.3655522     5.2585506
     2.9943638     2.3219116     5.2216220
     2.9422064     2.2790725     5.1865072
     2.8910303     2.2370689     5.1531615
     2.8409357     2.1959279     5.1215382
     2.7920172     2.1556637     5.0915847
     2.7443619     2.1162841     5.0632491
     2.6980474     2.0777848     5.0364723
     2.6531377     2.0401757     5.0112047
     2.6096940     2.0034900     4.9873843
     2.5677705     1.9677736     4.9649630
     2.5274191     1.9330987     4.9438887
     2.4886944     1.8995479     4.9241176
     2.4516413     1.8672004     4.9056044
     2.4162712     1.8361448     4.8882861
     2.3825896     1.8064711     4.8721156
     2.3506200     1.7782260     4.8570437
     2.3203859     1.7514150     4.8430347
     2.2919412     1.7260147     4.8300667
     2.2653434     1.7019893     4.8181219
     2.2406442     1.6793220     4.8071890
     2.2178845     1.6580117     4.7972431
     2.1970618     1.6381031     4.7882514
     2.1781478     1.6196668     4.7801728
     2.1611302     1.6027598     4.7729740
     2.1459916     1.5874418     4.7666259
     2.1326647     1.5738201     4.7610807
     2.1212246     1.5618508     4.7563534
     2.1122081     1.5510768     4.7526474
     2.1058733     1.5414577     4.7500553
     2.1021667     1.5333040     4.7485414
     2.1010575     1.5270507     4.7480903
     2.1019299     1.5233926     4.7484450
     2.1026082     1.5223756     4.7487211
     2.1034992     1.5215509     4.7490835
     2.1068904     1.5201772     4.7504716
     2.1130545     1.5205148     4.7529936
     2.1213870     1.5232619     4.7564211
     2.1314726     1.5284804     4.7605872
     2.1430213     1.5362502     4.7653856
     2.1560559     1.5462884     4.7708406
     2.1709604     1.5579678     4.7771244
     2.1877849     1.5711834     4.7842789
     2.2064540     1.5859929     4.7922940
     2.2269332     1.6023961     4.8011818
     2.2491906     1.6203898     4.8109560
     2.2731793     1.6399949     4.8216238
     2.2988698     1.6612092     4.8332062
     2.3262677     1.6839814     4.8457384
     2.3553836     1.7082523     4.8592701
     2.3862374     1.7339556     4.8738499
     2.4188375     1.7610375     4.8895321
     2.4531593     1.7894813     4.9063554
     2.4891701     1.8192548     4.9243584
     2.5268147     1.8503323     4.9435778
     2.5660367     1.8826798     4.9640484
     2.6068025     1.9162068     4.9858222
     2.6490793     1.9508024     5.0089507
     2.6928134     1.9863876     5.0334940
     2.7379522     2.0229206     5.0594978
     2.7844276     2.0603721     5.0870185
     2.8321671     2.0987442     5.1161041
     2.8810916     2.1380455     5.1468086
     2.9311163     2.1782682     5.1791878
     2.9821463     2.2193990     5.2132902
     3.0340796     2.2614126     5.2491622
     3.0868056     2.3042819     5.2868438
     3.1402001     2.3479888     5.3263783
     3.1941419     2.3925211     5.3677969
     3.2484879     2.4378684     5.4111252
     3.3031025     2.4840791     5.4563756
     3.3578322     2.5313654     5.5035663
     3.4125335     2.5799234     5.5526962
     3.4670503     2.6298726     5.6037512
     3.5212193     2.6812744     5.6567011
     3.5748837     2.7341707     5.7115116
     3.6278853     2.7886188     5.7681270
     3.6800683     2.8446822     5.8264875
     3.7312918     2.9024241     5.8865161
     3.7814205     2.9618938     5.9481235
     3.8303261     3.0231392     6.0112076
     3.8778915     3.0861921     6.0756559
     3.9240079     3.1510861     6.1413484
     3.9685829     3.2178440     6.2081594
     4.0115452     3.2864528     6.2759385
     4.0528207     3.3568981     6.3445458
     4.0923624     3.4291408     6.4138203
     4.1301012     3.5031347     6.4836287
     4.1660113     3.5788238     6.5538073
     4.2000699     3.6561220     6.6241922
     4.2322779     3.7349114     6.6946106
     4.2626476     3.8150625     6.7648978
     4.2912092     3.8964226     6.8348923
     4.3180184     3.9788678     6.9044709
     4.3431406     4.0622678     6.9735160
     4.3666153     4.1464715     7.0419211
     4.3885255     4.2312651     7.1095338
     4.4089236     4.3164258     7.1762385
     4.4278812     4.4017363     7.2419243
     4.4454789     4.4869637     7.3064895
     4.4617953     4.5718951     7.3698549
     4.4769053     4.6563153     7.4319530
     4.4908872     4.7400079     7.4927192
     4.5038304     4.8227720     7.5520992
     4.5157871     4.9044027     7.6100578
     4.5268464     4.9846916     7.6665425
     4.5370727     5.0634480     7.7215252
     4.5465274     5.1405034     7.7749829
     4.5552688     5.2156844     7.8268766
     4.5633507     5.2888317     7.8771653
     4.5708318     5.3598342     7.9258370
     4.5777674     5.4285955     7.9729061
     4.5841832     5.4949656     8.0183201
     4.5901241     5.5587749     8.0619688
     4.5956202     5.6199389     8.1038504
     4.6007195     5.6783895     8.1440372
     4.6054492     5.7339501     8.1824656
     4.6098289     5.7864923     8.2190475
     4.6138811     5.8359656     8.2537727
     4.6176248     5.8823199     8.2866240
     4.6210713     5.9254351     8.3175201
     4.6242294     5.9651709     8.3463449
     4.6271267     6.0021353     8.3732834
     4.6297560     6.0357442     8.3980160
     4.6321068     6.0665193     8.4203596
     4.6341658     6.0954113     8.4400921
     4.6359105     6.1217117     8.4569092
     4.6373510     6.1452918     8.4708586
     4.6384935     6.1659627     8.4819469
     4.6393347     6.1835256     8.4901552
     4.6398959     6.1979003     8.4956284
     4.6401777     6.2083201     8.4983768
     4.6402826     6.2142200     8.4993982
     4.6403079     6.2160625     8.4996471
