        X       R*THETA       R
   4.6000000  12.4383030  11.2044907
   4.6000000  12.4623413  11.2024107
   4.6000000  12.4732885  11.2000198
   4.6000000  12.4850454  11.1963243
   4.6000000  12.4972582  11.1911144
   4.6000000  12.5095873  11.1842041
   4.6000000  12.5217295  11.1754436
   4.6000000  12.5333891  11.1646948
   4.6000000  12.5442667  11.1518326
   4.6000000  12.5540695  11.1367369
   4.6000000  12.5624466  11.1192703
   4.6000000  12.5689735  11.0992651
   4.6000000  12.5744467  11.0772161
   4.6000000  12.5803070  11.0539408
   4.6000000  12.5866060  11.0294991
   4.6000000  12.5933628  11.0039339
   4.6000000  12.6005764  10.9772835
   4.6000000  12.6082697  10.9495935
   4.6000000  12.6164570  10.9209108
   4.6000000  12.6251497  10.8912830
   4.6000000  12.6343775  10.8607635
   4.6000000  12.6441412  10.8293982
   4.6000000  12.6544552  10.7972393
   4.6000000  12.6653423  10.7643404
   4.6000000  12.6768131  10.7307558
   4.6000000  12.6888895  10.6965418
   4.6000000  12.7015829  10.6617527
   4.6000000  12.7149105  10.6264448
   4.6000000  12.7288847  10.5906773
   4.6000000  12.7435188  10.5545025
   4.6000000  12.7588320  10.5179844
   4.6000000  12.7748337  10.4811754
   4.6000000  12.7915354  10.4441366
   4.6000000  12.8089437  10.4069214
   4.6000000  12.8270798  10.3695917
   4.6000000  12.8459406  10.3321981
   4.6000000  12.8655405  10.2948008
   4.6000000  12.8858957  10.2574596
   4.6000000  12.9069881  10.2202187
   4.6000000  12.9288359  10.1831369
   4.6000000  12.9514446  10.1462698
   4.6000000  12.9748020  10.1096611
   4.6000000  12.9989100  10.0733652
   4.6000000  13.0237589  10.0374260
   4.6000000  13.0493555  10.0018950
   4.6000000  13.0756798   9.9668140
   4.6000000  13.1027212   9.9322243
   4.6000000  13.1304598   9.8981647
   4.6000000  13.1588917   9.8646793
   4.6000000  13.1879873   9.8317995
   4.6000000  13.2177229   9.7995596
   4.6000000  13.2480745   9.7679920
   4.6000000  13.2790184   9.7371273
   4.6000000  13.3105202   9.7069912
   4.6000000  13.3425436   9.6776066
   4.6000000  13.3750515   9.6489964
   4.6000000  13.4080009   9.6211786
   4.6000000  13.4413528   9.5941715
   4.6000000  13.4750643   9.5679903
   4.6000000  13.5090714   9.5426397
   4.6000000  13.5433302   9.5181360
   4.6000000  13.5777922   9.4944849
   4.6000000  13.6123857   9.4716864
   4.6000000  13.6470690   9.4497499
   4.6000000  13.6817598   9.4286680
   4.6000000  13.7164135   9.4084435
   4.6000000  13.7509451   9.3890696
   4.6000000  13.7852983   9.3705406
   4.6000000  13.8193979   9.3528481
   4.6000000  13.8531742   9.3359833
   4.6000000  13.8865604   9.3199368
   4.6000000  13.9194765   9.3046942
   4.6000000  13.9518471   9.2902393
   4.6000000  13.9836111   9.2765627
   4.6000000  14.0146856   9.2636461
   4.6000000  14.0449867   9.2514677
   4.6000000  14.0744638   9.2400198
   4.6000000  14.1030283   9.2292776
   4.6000000  14.1306190   9.2192278
   4.6000000  14.1571569   9.2098475
   4.6000000  14.1825838   9.2011223
   4.6000000  14.2068243   9.1930304
   4.6000000  14.2298317   9.1855602
   4.6000000  14.2515326   9.1786900
   4.6000000  14.2718725   9.1724033
   4.6000000  14.2907934   9.1666832
   4.6000000  14.3082466   9.1615152
   4.6000000  14.3241940   9.1568880
   4.6000000  14.3385773   9.1527843
   4.6000000  14.3513699   9.1491957
   4.6000000  14.3615131   9.1455402
   4.6000000  14.3672295   9.1408997
   4.6000000  14.3690195   9.1356602
   4.6000000  14.3672848   9.1301804
   4.6000000  14.3628025   9.1250448
   4.6000000  14.3577795   9.1213608
   4.6000000  14.3556919   9.1201029
   4.6000000  14.3534021   9.1188517
   4.6000000  14.3462219   9.1155691
   4.6000000  14.3351526   9.1118698
   4.6000000  14.3220854   9.1089869
   4.6000000  14.3081684   9.1074324
   4.6000000  14.2941885   9.1075325
   4.6000000  14.2808962   9.1096067
   4.6000000  14.2665968   9.1125889
   4.6000000  14.2505045   9.1160049
   4.6000000  14.2326660   9.1198721
   4.6000000  14.2131281   9.1242037
   4.6000000  14.1919441   9.1290188
   4.6000000  14.1691618   9.1343307
   4.6000000  14.1448488   9.1401615
   4.6000000  14.1190634   9.1465292
   4.6000000  14.0918732   9.1534538
   4.6000000  14.0633469   9.1609583
   4.6000000  14.0335522   9.1690588
   4.6000000  14.0025644   9.1777802
   4.6000000  13.9704542   9.1871414
   4.6000000  13.9373159   9.1971703
   4.6000000  13.9032125   9.2078829
   4.6000000  13.8682213   9.2192974
   4.6000000  13.8324280   9.2314377
   4.6000000  13.7959185   9.2443228
