        X           R*THETA          R
     4.6790280     5.1424274     6.4838843
     4.7084360     5.2890530     6.5963383
     4.7349715     5.4355779     6.7066269
     4.7588763     5.5815916     6.8145437
     4.7803936     5.7266970     6.9199162
     4.7997398     5.8704844     7.0225921
     4.8171301     6.0125618     7.1224413
     4.8327575     6.1525421     7.2193656
     4.8468051     6.2900419     7.3132734
     4.8594341     6.4246998     7.4041119
     4.8708019     6.5561719     7.4918313
     4.8810377     6.6841307     7.5764003
     4.8902617     6.8082690     7.6577840
     4.8985853     6.9283085     7.7359514
     4.9061041     7.0439634     7.8108788
     4.9128995     7.1549597     7.8825445
     4.9190407     7.2610455     7.9509215
     4.9246016     7.3619890     8.0159798
     4.9296222     7.4575920     8.0776653
     4.9341583     7.5476565     8.1359386
     4.9382215     7.6325064     8.1904259
     4.9418383     7.7122836     8.2407961
     4.9450417     7.7866836     8.2869997
     4.9478631     7.8553944     8.3289719
     4.9503202     7.9181414     8.3666544
     4.9524198     7.9747438     8.3999310
     4.9541559     8.0253620     8.4283028
     4.9555373     8.0697880     8.4515858
     4.9565992     8.1076994     8.4699411
     4.9573584     8.1384678     8.4832315
     4.9578185     8.1614742     8.4914398
     4.9580369     8.1767683     8.4953346
     4.9580851     8.1845779     8.4961872
     4.9580860     8.1869211     8.4962034
