x,r
-5,5.075
-4.93974,5.05255
-4.87934,5.03051
-4.81878,5.00886
-4.75812,4.98756
-4.69734,4.96656
-4.63648,4.94581
-4.57553,4.92531
-4.51451,4.90504
-4.45342,4.88496
-4.39226,4.8651
-4.33104,4.84543
-4.26976,4.82595
-4.20842,4.80667
-4.14702,4.78757
-4.08556,4.76865
-4.02404,4.74993
-3.96246,4.73141
-3.90083,4.71308
-3.83913,4.69495
-3.77737,4.67708
-3.71553,4.65944
-3.65369,4.64183
-3.59182,4.62429
-3.52982,4.60723
-3.46767,4.59075
-3.40546,4.57449
-3.34324,4.55826
-3.28096,4.54224
-3.21861,4.52656
-3.15617,4.51118
-3.09366,4.49607
-3.03109,4.48127
-2.96844,4.46678
-2.90572,4.45261
-2.84293,4.43876
-2.78006,4.42524
-2.71712,4.41207
-2.65411,4.39925
-2.59103,4.38678
-2.52787,4.37468
-2.46465,4.36296
-2.40136,4.35161
-2.33799,4.34065
-2.27457,4.33009
-2.21107,4.31993
-2.14751,4.31018
-2.08389,4.30085
-2.02021,4.29194
-1.95647,4.28347
-1.89267,4.27544
-1.82881,4.26784
-1.76491,4.2607
-1.70096,4.254
-1.63695,4.24777
-1.57292,4.242
-1.50883,4.23671
-1.44471,4.23189
-1.38055,4.22754
-1.31636,4.22366
-1.25216,4.22027
-1.18792,4.21738
-1.12367,4.21496
-1.05939,4.21303
-0.99511,4.21159
-0.93081,4.21065
-0.8665,4.21019
-0.80221,4.21023
-0.7379,4.21075
-0.67361,4.21175
-0.60932,4.21325
-0.54505,4.21525
-0.4808,4.21772
-0.41656,4.22067
-0.35236,4.22412
-0.28817,4.22804
-0.22402,4.23244
-0.1599,4.23733
-0.09582,4.24269
-0.03179,4.24854
0.03221,4.25485
0.09614,4.26163
0.16004,4.2689
0.22387,4.27664
0.28765,4.28485
0.35136,4.29353
0.41501,4.3027
0.47858,4.31233
0.54209,4.32244
0.60551,4.33304
0.66885,4.34411
0.7321,4.35567
0.79527,4.36772
0.85833,4.38025
0.92131,4.39329
0.98417,4.40681
1.04692,4.42085
1.10956,4.43539
1.17208,4.45045
1.23446,4.46603
1.29671,4.48214
1.35882,4.49879
1.42078,4.51597
1.48259,4.53372
1.54423,4.55202
1.60571,4.5709
1.66699,4.59034
1.72809,4.61039
1.78899,4.63104
1.84968,4.65229
1.91014,4.67417
1.97038,4.69667
2.03037,4.71983
2.0901,4.74364
2.14955,4.76812
2.20874,4.79328
2.26761,4.81913
2.32617,4.8457
2.3844,4.87298
2.44227,4.90099
2.49979,4.92974
2.55693,4.95925
2.61366,4.98954
2.66996,5.02059
2.72582,5.05244
2.78122,5.08509
2.83612,5.11855
2.89052,5.15285
2.94439,5.18796
2.9977,5.22391
3.05043,5.26072
3.10255,5.29837
3.15405,5.33687
3.2049,5.37625
3.25505,5.41647
3.30451,5.45758
3.35323,5.49953
3.40121,5.54236
3.44839,5.58604
3.49478,5.63057
3.54034,5.67595
3.58504,5.72217
3.62888,5.76922
3.67182,5.81708
3.71384,5.86576
3.75494,5.91521
3.79508,5.96545
3.83426,6.01643
3.87247,6.06816
3.90968,6.1206
3.94589,6.17374
3.9811,6.22755
4.01528,6.28201
4.04844,6.33711
4.08058,6.3928
4.1117,6.44908
4.14177,6.50591
4.17083,6.56328
4.19887,6.62114
4.2259,6.67949
4.25192,6.73829
4.27694,6.79752
4.30098,6.85717
4.32406,6.9172
4.34617,6.97757
4.36733,7.03829
4.38759,7.09932
